,,,,,,,,Numerode,Casos,segunFecha,de,Iniciode,Sintomas,(segun,semana,epidemiologica),
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,9 10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 
Chepica ,15925 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 ,O ,0 ,0 ,O ,0 ,0 ,0 ,0 ,O 
Chimbarongo ,37696 ,2 ,5.3 ,O ,0.0 ,O ,0.0 ,O 0 ,O ,1 ,1 ,O ,0 ,0 ,0 ,0 ,O 
Codegua ,14096 ,2 ,14.2 ,1 ,7.1 ,1 ,7.1 ,O O ,O ,1 ,O ,O ,O ,O ,1 ,O ,O 
Coinco ,7831 ,1 ,12.8 ,1 ,12.8 ,1 ,12.8 ,0 0 ,O ,0 ,O ,0 ,0 ,O ,1 ,O ,0 
Coltauco ,21263 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 ,O ,O ,O ,0 ,0 ,O ,0 ,0 ,0 
Donihue ,22700 ,2 ,8.8 ,1 ,4.4 ,1 ,4.4 ,O 0 ,O ,O ,O ,O ,0 ,1 ,0 ,1 ,O 
Graneros ,36504 ,2 ,5.5 ,1 ,2.7 ,1 ,2.7 ,O O ,O ,O ,O ,O ,O ,O ,2 ,O ,O 
La Estrella ,3114 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O ,O ,O ,O ,O ,0 ,O ,0 ,O ,O 
Las Cabras ,26749 ,10 ,37.4 ,7 ,26.2 ,7 ,26.2 ,O O ,O ,O ,O ,O ,1 ,2 ,4 ,3 ,O 
Litueche ,6765 ,8 ,118.3 ,7 ,103.5 ,7 ,103.5 ,O 0 ,O ,0 ,O ,0 ,0 ,1 ,5 ,2 ,O 
Lolol ,7289 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O ,O ,0 ,O ,O ,0 ,O ,O ,0 ,O 
Machali ,59913 ,16 ,26.7 ,4 ,6.7 ,4 ,6.7 ,O O ,1 ,5 ,1 ,O ,4 ,O ,5 ,O ,O 
Malloa ,14163 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O ,O ,0 ,O ,O ,O ,O ,O ,O ,O 
Marchihue ,7632 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O ,O ,0 ,O ,O ,0 ,0 ,O ,O ,O 
Mostazal ,27462 ,1 ,3.6 ,1 ,3.6 ,1 ,3.6 ,0 0 ,O ,O ,O ,O ,0 ,0 ,O ,1 ,O 
Nancagua ,19141 ,1 ,5.2 ,1 ,5.2 ,1 ,5.2 ,0 0 ,O ,0 ,0 ,O ,0 ,0 ,0 ,1 ,0 
Navidad ,6904 ,2 ,29.0 ,2 ,29.0 ,2 ,29.0 ,O 0 ,O ,0 ,O ,0 ,0 ,O ,2 ,O ,0 
Olivar ,14624 ,6 ,41.0 ,0 ,0.0 ,O ,0.0 ,O 0 ,O ,0 ,1 ,2 ,2 ,1 ,O ,0 ,O 
Palmilla ,13299 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O ,O ,O ,O ,O ,O ,O ,O ,O ,O 
Paredones ,6349 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O 0 ,O ,O ,O ,0 ,0 ,O ,O ,O ,O 
Peralillo ,11848 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 ,O ,O ,0 ,O ,0 ,O ,O ,0 ,O 
