Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Ancud ,42458 ,113 ,266.1 ,0 ,0.0 ,0 ,0.0 
Calbuco ,36744 ,325 ,884.5 ,30 ,81.6 ,30 ,81.6 
Castro ,47607 ,32 ,67.2 ,1 ,2.1 ,1 ,2.1 
Chaiten ,5020 ,15 ,298.8 ,0 ,0.0 ,0 ,0.0 
Chonchi ,16013 ,1 ,6.2 ,O ,0.0 ,0 ,0.0 
Cochamo ,4006 ,23 ,574.1 ,0 ,0.0 ,0 ,0.0 
Curaco de Velez ,4066 ,18 ,442.7 ,0 ,0.0 ,0 ,0.0 
Dalcahue ,& 15069 ,8 ,53.1 ,0 ,0.0 ,0 ,0.0 
Fresia ,12656 ,118 ,932.4 ,30 ,237.0 ,30 ,237.0 
Frutillar ,& 20223 ,290 ,1434.0 ,34 ,168.1 ,34 ,168.1 
Futaleufu ,2806 ,1 ,35.6 ,O ,0.0 ,0 ,0.0 
Hualaihue ,9525 ,30 ,315.0 ,9 ,94.5 ,9 ,94.5 
Llanquihue ,18621 ,225 ,1208.3 ,37 ,198.7 ,36 ,193.3 
Los Muermos ,17817 ,123 ,690.4 ,15 ,84.2 ,15 ,84.2 
Maullin ,14894 ,200 ,1342.8 ,56 ,376.0 ,56 ,376.0 
Osorno ,173410 ,1195 ,689.1 ,133 ,76.7 ,133 ,76.7 
Palena ,1827 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Puerto Montt ,& 269398 ,3065 ,1137.7 ,237 ,88.0 ,237 ,88.0 
Puerto Octay ,9192 ,76 ,826.8 ,23 ,250.2 ,23 ,250.2 
Puerto Varas ,48620 ,288 ,592.3 ,34 ,69.9 ,34 ,69.9 
Puqueldon ,4201 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
