,SESESESE,SE,SESE,SESE,SESESE,SE,SE,SESE,SE,SE,SE,SESE
,,,,,,,,,,,,
Comuna ,9 10 11 12 ,13 ,14 15 ,16 17 ,18 19 20 ,21 ,22 ,23 24 ,25 ,26 ,27 ,28 29 
Ancud ,O O 0 0 ,1 ,0 6 ,3 1 ,21 19 23 ,10 ,2 ,4 4 ,1 ,5 ,O ,O O 
Calbuco ,& O O O 3 ,1 ,1 1 ,1 O ,O 1 O ,O ,1 ,O 2 ,19 ,42 ,32 ,24 O 
Castro ,O O O 2 ,O ,5 O ,O O ,O 1 O ,O ,O ,O 1 ,O ,O ,1 ,O O 
Chaiten ,O 0 O O ,1 ,0 O ,0 O ,O O 0 ,0 ,0 ,0 O ,O ,O ,1 ,8 0 
Chonchi ,O O O O ,O ,0 O ,O O ,O O 0 ,0 ,O ,O O ,O ,1 ,O ,O O 
Cochamo ,O O O O ,O ,O 1 ,O O ,O O O ,O ,O ,O O ,1 ,6 ,O ,O O 
Curaco de Velez ,O O O O ,O ,O O ,O O ,O O O ,O ,O ,O 1 ,O ,12 ,2 ,3 O 
Dalcahue ,O O O O ,O ,O O ,O O ,O 1 3 ,2 ,O ,O 1 ,O ,O ,O ,O O 
Fresia ,& O O O O ,O ,O O ,O O ,O O O ,O ,O ,O 4 ,1 ,6 ,9 ,O O 
Frutillar ,& O O O O ,1 ,3 2 ,O O ,O 1 O ,3 ,2 ,3 7 ,20 ,26 ,53 ,17 O 
Futaleufu ,O O O O ,O ,0 O ,O O ,0 O 1 ,0 ,O ,O O ,O ,O ,O ,O O 
Hualaihue ,O O O O ,3 ,O O ,O O ,O O O ,O ,1 ,1 1 ,3 ,1 ,2 ,O O 
Llanquihue ,& O O O O ,1 ,O O ,O O ,O 5 O ,O ,3 ,3 11 ,18 ,7 ,16 ,12 O 
Los Muermos ,O O O 1 ,O ,O O ,O O ,O 1 0 ,0 ,O ,1 1 ,13 ,7 ,12 ,4 O 
,,,,,,,,,,,,
