,,,Numero,de,Casossegun,Fecha,deInicio,de,Sintomas.,Notificacion,O,Tomade,Muestra,,,,
Region de Notificacion o Toma de Muestra ,Residencia ,SE SE SE SE SE ,SE SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE SE ,SE ,SE 
,Desconocida ,9 10 11 12 13 ,14 15 ,16 ,17 18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 29 ,30 ,31 
Region de Arica y Parinacota ,7 ,O O O O O ,O 1 ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O 2 ,3 ,1 
Region de Tarapaca ,401 ,0 O O O O ,O 1 ,O ,1 5 ,94 ,29 ,26 ,25 ,31 ,26 ,20 ,23 ,16 ,20 36 ,40 ,8 
Region de Antofagasta ,215 ,O O O O O ,O O ,O ,5 O ,1 ,1 ,O ,O ,5 ,10 ,41 ,30 ,30 ,26 24 ,22 ,20 
Region de Atacama ,18 ,O O O O O ,0 O ,O ,O O ,O ,O ,O ,O ,O ,O ,9 ,1 ,2 ,1 3 ,2 ,O 
Region de Coquimbo ,136 ,O O O 1 O ,3 1 ,1 ,1 O ,1 ,3 ,10 ,8 ,9 ,17 ,11 ,17 ,10 ,18 13 ,7 ,5 
Region de Valparaiso ,421 ,O O O 2 3 ,3 1 ,1 ,O O ,11 ,8 ,7 ,38 ,29 ,37 ,63 ,52 ,60 ,34 31 ,25 ,16 
Region Metropolitana de Santiago ,17080 ,O O 7 10 19 ,55 177 ,363 ,578 725 ,1487 ,2376 ,2574 ,1764 ,1504 ,1493 ,1518 ,932 ,529 ,377 207 ,249 ,136 
Region del Libertador General Bernardo OHiggins ,99 ,O O O O O ,O 2 ,O ,O O ,1 ,2 ,12 ,O ,8 ,4 ,12 ,12 ,4 ,19 3 ,7 ,13 
Region del Maule ,46 ,O O O 1 O ,O O ,O ,1 O ,O ,1 ,O ,2 ,3 ,7 ,10 ,5 ,O ,2 3 ,5 ,6 
Region del Nuble ,4 ,O O O 0 O ,O O ,O ,O O ,0 ,O ,O ,O ,O ,O ,O ,O ,O ,2 O ,O ,2 
Region del Biobio ,167 ,O O O 1 O ,O O ,O ,O O ,2 ,4 ,6 ,6 ,9 ,8 ,28 ,39 ,8 ,11 11 ,18 ,16 
Region de la Araucania ,2 ,O O O O 1 ,O O ,O ,O O ,O ,O ,O ,1 ,O ,O ,O ,O ,O ,O O ,O ,O 
Region de Los Rios ,6 ,O O 1 O O ,O 1 ,1 ,O O ,0 ,O ,O ,1 ,O ,1 ,1 ,O ,O ,O O ,O ,O 
Region de Los Lagos ,80 ,O O 9 10 3 ,1 O ,1 ,3 O ,1 ,1 ,2 ,3 ,1 ,1 ,3 ,3 ,4 ,12 4 ,9 ,9 
Region de Aysen del General Carlos ibanez del Campo ,1 ,O O 1 O O ,O O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O ,O ,O 
Region de Magallanes y la Antartica Chilena ,71 ,O O O 1 O ,1 42 ,14 ,4 2 ,1 ,O ,O ,O ,O ,1 ,1 ,1 ,1 ,O 1 ,1 ,O 
Desconocido ,73 ,O O O 1 9 ,1 1 ,1 ,2 8 ,14 ,O ,8 ,5 ,21 ,O ,O ,O ,O ,O O ,O ,1 
Total pais ,18827 ,0 0 18 27 35 ,64 227 ,382 ,595 740 ,1613 ,2425 ,2645 ,1853 ,1620 ,1605 ,1717 ,1115 ,664 ,522 338 ,388 ,233 
