,SinHospitalizacion,,Hospitalizados,
Signos / Sintoma ,No ,% ,NO ,% 
Cefalea ,184812 ,60.9 ,7250 ,32.4 
Mialgia ,174173 ,57.4 ,9238 ,41.2 
Tos ,174011 ,57.3 ,13639 ,60.9 
Fiebre ,112884 ,37.2 ,10879 ,48.5 
Odinofagia ,102448 ,33.7 ,3725 ,16.6 
"Anosmia"" ",56837 ,18.7 ,1130 ,5.0 
"Ageusia"" ",44984 ,14.8 ,951 ,4.2 
Disnea ,35565 ,11.7 ,10352 ,46.2 
Diarrea ,31613 ,10.4 ,1889 ,8.4 
Dolor toracico ,28689 ,9.4 ,2595 ,11.6 
Dolor abdominal ,18601 ,6.1 ,1499 ,6.7 
Taquipnea ,3534 ,1.2 ,3225 ,14.4 
Cianosis ,334 ,0.1 ,532 ,2.4 
