,,NumerodeCasossegunFechadeIniciodeSintomas
SEREMI de Notificacion ,Residencia Desconocida ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 
SEREMI De Arica y Parinacota ,0 ,0 0 0 0 O 0 O 0 O O 0 O 0 O 0 
SEREM De Tarapaca ,0 ,0 O 0 0 0 0 0 0 0 0 0 0 0 0 0 
SEREM De Antofagasta ,O ,0 O 0 0 O 0 O 0 O O 0 O 0 O 0 
SEREMI De Atacama ,0 ,0 O 0 O O 0 O O O 0 0 O 0 0 0 
SEREMI De Coquimbo ,0 ,0 O 0 0 O 0 O O O O 0 O 0 0 0 
SEREM De Valparaiso ,2 ,0 O 0 0 1 O 0 O O 0 0 O O 1 0 
SEREMI Metropolitana de Santiago ,15 ,0 O 1 0 0 0 O 1 1 1 2 1 2 4 2 
SEREM Del Libertador Gral B OHiggins ,0 ,0 O 0 0 0 0 0 O O 0 0 O 0 0 0 
SEREM De Maule ,0 ,0 O 0 0 O 0 O O O 0 0 O 0 0 0 
SEREMI Del Nuble ,O ,0 O 0 0 0 0 O O O 0 0 O 0 0 0 
SEREM De Biobio ,0 ,0 0 0 0 0 0 0 O 0 0 0 O 0 0 0 
SEREM De La Araucania ,0 ,0 0 0 0 0 0 O 0 0 0 0 0 0 0 0 
SEREM De Los Rios ,O ,0 O 0 0 O 0 O O O O 0 O 0 O 0 
SEREMI De Los Lagos ,21 ,0 0 9 10 1 1 0 O 0 0 0 0 O 0 0 
SEREMI De Aisen del General Carlos lbanez de Campo ,1 ,O O 1 0 0 0 0 O O O 0 O O 0 0 
SEREMI De Magallanes y la Antartica Chilena ,0 ,0 O 0 0 O 0 O O O 0 0 O 0 0 0 
Total pais ,39 ,0 0 11 10 2 1 0 1 1 1 2 1 2 5 2 
