,,Numero,deCasos,segunFechade,IniciodeSintomas
SEREMI de Notificacion ,Residencia Desconocida ,SE SE SE 9 10 11 ,SE SE SE 12 13 14 ,SE SE SE 15 16 17 ,SE SE SE SE SE SE 18 19 20 21 22 23 
SEREMI De Arica y Parinacota ,O ,O O O ,O O O ,O O O ,O O O O O O 
SEREMI De Tarapaca ,O ,O O O ,O O O ,O O O ,O O O O O O 
SEREMI De Antofagasta ,O ,O O O ,O O O ,O O O ,O O O O O O 
SEREMI De Atacama ,O ,O O O ,O O O ,O O O ,O O O O O O 
SEREMI De Coquimbo ,O ,O O O ,O O O ,O O O ,O O O O O O 
SEREMI De Valparaiso ,1 ,O O O ,O 1 O ,O O O ,O O O O O O 
SEREMI Metropolitana de Santiago ,10 ,O O 1 ,O O O ,O 1 1 ,2 2 1 2 O O 
SEREMI Del Libertador Gral B OHiggins ,O ,O O O ,O O O ,O O O ,O O O O O O 
SEREM Del Maule ,O ,O O O ,O O O ,O O O ,O O O O O O 
SEREMI Del Nuble ,O ,O O O ,O O O ,O O O ,O O O O O O 
SEREMI Del Biobio ,O ,O O O ,O O O ,O O O ,O O O O O O 
SEREMI De La Araucania ,O ,O O O ,O O O ,O O O ,O O O O O O 
SEREMI De Los Rios ,O ,O O O ,O O O ,O O O ,O O O O O O 
SEREMI De Los Lagos ,21 ,O O 9 ,10 1 1 ,O O O ,O O O O O O 
SEREMI De Aisen de General Carlos ibanez del Campo ,1 ,O O 1 ,O O O ,O O O ,O O O O O O 
