,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE 12 13 14 ,SE SE SE SE SE SE SE 15 16 17 18 19 20 21 
Alto del Carmen ,5729 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 O ,0 0 0 ,0 0 0 0 0 0 0 
Caldera ,19426 ,6 ,30.9 ,2 ,10.3 ,2 ,10.3 ,0 O 0 ,0 O 0 ,0 0 0 2 2 1 1 
Chanaral ,13164 ,1 ,7.6 ,1 ,7.6 ,1 ,7.6 ,O O O ,O O O ,O O O O 0 O 1 
Copiapo ,171766 ,115 ,67.0 ,32 ,18.6 ,32 ,18.6 ,O O 1 ,O 2 1 ,4 O 12 26 27 14 22 
Diego de Almagro ,14358 ,12 ,83.6 ,8 ,55.7 ,8 ,55.7 ,O O O ,O 1 0 ,O 0 0 1 1 4 3 
Freirina ,7681 ,1 ,13.0 ,O ,0.0 ,O ,0.0 ,O O O ,O 0 O ,O 1 O O 0 O 0 
Huasco ,11264 ,1 ,8.9 ,0 ,0.0 ,O ,0.0 ,O O O ,O O O ,O 0 O 1 O O O 
Tierra Amarilla ,14312 ,24 ,167.7 ,1 ,7.0 ,1 ,7.0 ,O O O ,O 0 2 ,3 O 2 5 10 1 O 
Vallenar ,57009 ,50 ,87.7 ,5 ,8.8 ,5 ,8.8 ,0 O O ,O O O ,1 9 11 9 13 2 4 
Total ,314709 ,210 ,66.7 ,49 ,15.6 ,49 ,15.6 ,0 0 1 ,0 3 3 ,8 10 25 44 53 22 31 
