,,,,,,Numerode,Casossegun,FechadeIniciode,Sintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE SE 16 17 
Angol ,56058 ,80 ,142.7 ,38 ,67.8 ,38 ,67.8 ,O 1 1 3 ,10 ,9 16 ,31 9 
Carahue ,25486 ,31 ,121.6 ,6 ,23.5 ,6 ,23.5 ,O O O 1 ,3 ,9 9 ,8 1 
Cholchol ,12341 ,5 ,40.5 ,O ,0.0 ,O ,0.0 ,O O O 1 ,3 ,O 1 ,O O 
Collipulli ,26148 ,3 ,11.5 ,2 ,7.6 ,1 ,3.8 ,O O O O ,O ,O 1 ,1 1 
Cunco ,18055 ,6 ,33.2 ,0 ,0.0 ,O ,0.0 ,O O O O ,3 ,3 O ,O O 
Curacautin ,18178 ,6 ,33.0 ,1 ,5.5 ,1 ,5.5 ,O O O 2 ,O ,3 O ,O 1 
Curarrehue ,7802 ,4 ,51.3 ,O ,0.0 ,O ,0.0 ,O O 1 1 ,2 ,O O ,O O 
Ercilla ,8458 ,8 ,94.6 ,4 ,47.3 ,4 ,47.3 ,O O O O ,O ,3 1 ,3 1 
Freire ,25446 ,7 ,27.5 ,2 ,7.9 ,2 ,7.9 ,O O 0 2 ,3 ,O 0 ,2 O 
Galvarino ,12633 ,2 ,15.8 ,O ,0.0 ,0 ,0.0 ,0 O O O ,1 ,1 0 ,0 O 
Gorbea ,15148 ,12 ,79.2 ,2 ,13.2 ,2 ,13.2 ,O O 1 4 ,4 ,1 O ,2 0 
Lautaro ,40746 ,38 ,93.3 ,7 ,17.2 ,7 ,17.2 ,1 O O 6 ,4 ,13 6 ,6 2 
Loncoche ,24739 ,10 ,40.4 ,1 ,4.0 ,1 ,4.0 ,O O O 2 ,2 ,2 3 ,1 O 
Lonquimay ,11049 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O ,0 ,O 0 ,O O 
Los Sauces ,7517 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O O ,O ,O O ,O O 
Lumaco ,10050 ,1 ,10.0 ,1 ,10.0 ,1 ,10.0 ,O O O O ,O ,O O ,1 O 
Melipeuco ,6265 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O ,O ,O O ,O O 
Nueva Imperial ,33777 ,44 ,130.3 ,8 ,23.7 ,8 ,23.7 ,O O O 6 ,10 ,6 13 ,7 2 
Padre Las Casas ,82110 ,87 ,106.0 ,21 ,25.6 ,21 ,25.6 ,O O O 10 ,24 ,17 14 ,15 7 
Perquenco ,7223 ,6 ,83.1 ,2 ,27.7 ,2 ,27.7 ,O O O 1 ,1 ,1 O ,3 O 
Pitrufquen ,26096 ,19 ,72.8 ,1 ,3.8 ,1 ,3.8 ,0 O 0 4 ,8 ,6 0 ,1 0 
