,,,,Casos,Acumulados,,,,,,
Zona de Chile ,Poblacion ,Confirmados Notificados ,Confirmados No Notificados ,Probables ,Confirmados correspondientes a BAC ,% Confirmados correspondientes a BAC ,Total ,"Casos Fallecidos"" ",Tasa incidencia acumulada ,Tasa mortalidad acumulada ,Tasa Letalidad 
Region de Arica y Parinacota ,252110 ,5222 ,19 ,301 ,147 ,2.7% ,5542 ,79 ,2198.2 ,31.3 ,1.4% 
Region de Tarapaca ,382773 ,9003 ,416 ,398 ,604 ,6.2% ,9817 ,180 ,2564.7 ,47.0 ,1.8% 
Region de Antofagasta ,691854 ,15920 ,235 ,679 ,672 ,4.0% ,16834 ,391 ,2433.2 ,56.5 ,2.3% 
Region de Atacama ,314709 ,3850 ,18 ,55 ,560 ,14.3% ,3923 ,19 ,1246.5 ,6.0 ,0.5% 
Region de Coquimbo ,836096 ,7314 ,133 ,765 ,299 ,3.6% ,8212 ,83 ,982.2 ,9.9 ,1.0% 
Region de Valparaiso ,1960170 ,18840 ,403 ,6467 ,540 ,2.1% ,25710 ,590 ,1311.6 ,30.1 ,2.3% 
Region Metropolitana de Santiago ,8125072 ,246038 ,16609 ,29236 ,4334 ,1.5% ,291883 ,8204 ,3592.4 ,101.0 ,2.8% 
Region de Libertador General Bernardo OHiggins ,991063 ,11534 ,87 ,2024 ,440 ,3.2% ,13645 ,279 ,1376.8 ,28.2 ,2.0% 
Region de Maule ,1131939 ,9878 ,41 ,694 ,154 ,1.5% ,10613 ,196 ,937.6 ,17.3 ,1.8% 
Region del Nuble ,511551 ,3822 ,1 ,839 ,121 ,2.6% ,4662 ,69 ,911.3 ,13.5 ,1.5% 
Region de Biobio ,1663696 ,12829 ,192 ,1298 ,363 ,2.5% ,14319 ,137 ,860.7 ,8.2 ,1.0% 
Region de la Araucania ,1014343 ,4436 ,1 ,51 ,218 ,4.9% ,4488 ,78 ,442.5 ,7.7 ,1.7% 
Region de Los Rios ,405835 ,961 ,7 ,14 ,22 ,2.2% ,982 ,14 ,242.0 ,3.4 ,1.4% 
Region de Los Lagos ,891440 ,4950 ,54 ,301 ,491 ,9.3% ,5305 ,53 ,595.1 ,5.9 ,1.0% 
Region de Aysen del General Carlos lbanez de Campo ,107297 ,95 ,0 ,0 ,4 ,4.2% ,95 ,O ,88.5 ,0.0 ,0.0% 
Region de Magallanes y la Antartica Chilena ,178362 ,2002 ,71 ,30 ,70 ,3.3% ,2103 ,30 ,1179.1 ,16.8 ,1.4% 
Desconocida* ,,0 ,63 ,0 ,0 ,0.0% ,63 ,0 ,,,0.0% 
Total pais ,19458310 ,356694 ,18350 ,43152 ,9039 ,2.2% ,418196 ,10402 ,2149.2 ,53.5 ,2.5% 
