,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,543 ,2.2 ,89.5 ,522 ,2.4 ,89.4 ,1065 ,2.3 ,89.5 
05 09 anos ,410 ,1.7 ,62.8 ,408 ,1.9 ,64.8 ,818 ,1.8 ,63.8 
10 14 anos ,490 ,2.0 ,76.1 ,451 ,2.1 ,72.6 ,941 ,2.0 ,74.4 
15 19 anos ,743 ,3.0 ,116.0 ,781 ,3.6 ,126.1 ,1524 ,3.3 ,120.9 
20 24 anos ,1864 ,7.6 ,254.3 ,1735 ,8.1 ,244.3 ,3599 ,7.8 ,249.4 
25 29 anos ,3118 ,12.7 ,372.4 ,2956 ,13.7 ,364.1 ,6074 ,13.2 ,368.3 
30 34 anos ,3258 ,13.3 ,402.1 ,2691 ,12.5 ,342.4 ,5949 ,12.9 ,372.7 
35 39 anos ,2697 ,11.0 ,371.8 ,2163 ,10.0 ,304.7 ,4860 ,10.6 ,338.6 
40 44 anos ,2259 ,9.2 ,334.5 ,1859 ,8.6 ,276.8 ,4118 ,8.9 ,305.7 
45 49 anos ,2101 ,8.6 ,332.9 ,1734 ,8.1 ,270.8 ,3835 ,8.3 ,301.6 
50 54 anos ,1918 ,7.8 ,319.1 ,1553 ,7.2 ,249.1 ,3471 ,7.5 ,283.5 
55 59 anos ,1710 ,7.0 ,308.2 ,1443 ,6.7 ,244.3 ,3153 ,6.8 ,275.3 
60 64 anos ,1305 ,5.3 ,277.1 ,1002 ,4.7 ,193.3 ,2307 ,5.0 ,233.2 
65 69 anos ,772 ,3.1 ,203.7 ,669 ,3.1 ,153.6 ,1441 ,3.1 ,176.9 
70 74 anos ,534 ,2.2 ,202.2 ,509 ,2.4 ,159.4 ,1043 ,2.3 ,178.8 
75 79 anos ,371 ,1.5 ,210.3 ,371 ,1.7 ,156.3 ,742 ,1.6 ,179.3 
80 y mas anos ,430 ,1.8 ,218.8 ,678 ,3.1 ,193.5 ,1108 ,2.4 ,202.6 
Total ,24523 ,100 ,255.5 ,21525 ,100 ,218.3 ,46048 ,100 ,236.6 
