,,,,,,,,,NumerodeCasos,segunFechadeIniciodeSintomas,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 ,SE SE 23 24 
Alto del Carmen ,5729 ,4 ,69.8 ,O ,0.0 ,2 ,34.9 ,2 ,34.9 ,0 0 0 O O O O O O O O 0 0 1 ,3 0 
Caldera ,19426 ,14 ,72.1 ,O ,0.0 ,5 ,25.7 ,5 ,25.7 ,0 O 0 O 0 0 O 0 0 2 2 1 1 3 ,2 3 
Chanaral ,13164 ,3 ,22.8 ,O ,0.0 ,2 ,15.2 ,2 ,15.2 ,0 0 0 0 0 0 O 0 0 0 O 0 1 O ,1 1 
Copiapo& ,171766 ,297 ,172.9 ,O ,0.0 ,120 ,69.9 ,120 ,69.9 ,O O 1 O 2 1 4 0 12 26 27 14 25 57 ,101 27 
Diego de Almagro& ,14358 ,25 ,174.1 ,0 ,0.0 ,8 ,55.7 ,8 ,48.8 ,1 0 0 0 1 0 O 0 O 1 1 4 3 6 ,3 5 
Freirina ,7681 ,2 ,26.0 ,O ,0.0 ,1 ,13.0 ,1 ,13.0 ,0 O 0 O 0 0 O 1 O 0 O 0 O 0 ,1 O 
Huasco ,11264 ,9 ,79.9 ,O ,0.0 ,6 ,53.3 ,6 ,53.3 ,0 O 0 O 0 O O 0 0 1 O 0 0 2 ,5 1 
Tierra Amarilla ,14312 ,35 ,244.6 ,O ,0.0 ,10 ,69.9 ,10 ,69.9 ,0 O 0 0 0 2 3 0 2 5 10 1 0 1 ,7 4 
Vallenar8 ,57009 ,100 ,175.4 ,0 ,0.0 ,33 ,57.9 ,33 ,57.9 ,0 0 0 0 0 0 1 9 11 9 13 2 6 15 ,23 11 
Total ,314709 ,489 ,155.4 ,O ,0.0 ,187 ,59.4 ,186 ,59.1 ,1 0 1 0 3 3 8 10 25 44 53 22 36 85 ,146 52 
