,,,,,,Numerode,Casossegun,FechadeInicio,deSintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE SE 12 13 14 15 ,SE 16 ,SE SE SE SE 17 18 19 20 
Corral ,5447 ,11 ,201.9 ,10 ,183.6 ,10 ,183.6 ,O O O ,O O O O ,1 ,0 O 6 4 
Futrono ,15261 ,5 ,32.8 ,0 ,0.0 ,O ,0.0 ,O O O ,1 3 1 O ,O ,O O O O 
La Union ,39538 ,40 ,101.2 ,1 ,2.5 ,1 ,2.5 ,O O 1 ,5 8 4 6 ,9 ,4 2 1 O 
Lago Ranco ,10292 ,2 ,19.4 ,O ,0.0 ,O ,0.0 ,O O O ,1 1 O O ,O ,O O O O 
Lanco ,17652 ,9 ,51.0 ,2 ,11.3 ,2 ,11.3 ,O 0 O ,O 1 2 1 ,2 ,0 3 0 0 
Los Lagos ,20518 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 O ,0 O 0 O ,O ,O O O O 
Mafil ,7389 ,2 ,27.1 ,O ,0.0 ,O ,0.0 ,O O O ,1 O O O ,1 ,O O O O 
Mariquina ,23250 ,12 ,51.6 ,3 ,12.9 ,3 ,12.9 ,O O O ,3 1 4 1 ,O ,O O 2 1 
Paillaco ,20798 ,1 ,4.8 ,O ,0.0 ,O ,0.0 ,O O O ,1 O O O ,O ,O O O O 
Panguipulli ,35991 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O ,O O O O ,O ,0 O O O 
Rio Bueno ,32925 ,12 ,36.4 ,O ,0.0 ,O ,0.0 ,O O O ,3 1 2 2 ,1 ,2 1 O 0 
Valdivia ,176774 ,124 ,70.1 ,2 ,1.1 ,2 ,1.1 ,O 1 1 ,26 32 25 17 ,8 ,8 4 2 O 
Total ,405835 ,218 ,53.7 ,18 ,4.4 ,18 ,4.4 ,0 1 2 ,41 47 38 27 ,22 ,14 10 11 5 
