,Sin,Hospitalizacion,Hospitalizados,
Comorbilidades ,No ,% ,No ,% 
Hipertension arterial ,16083 ,10.9 ,4147 ,30.6 
Diabetes ,7024 ,4.8 ,2615 ,19.3 
Obesidad ,3639 ,2.5 ,858 ,6.3 
Asma ,3582 ,2.4 ,594 ,4.4 
Enfermedad cardiovascular ,1041 ,0.7 ,580 ,4.3 
Enfermedad pulmonar cronica ,828 ,0.6 ,582 ,4.3 
Cardiopatia cronica ,802 ,0.5 ,557 ,4.1 
Enfermedad renal cronica ,632 ,0.4 ,446 ,3.3 
Enfermedad neurologica cronica ,430 ,0.3 ,367 ,2.7 
nmunocomprometido ,145 ,0.1 ,154 ,1.1 
Enfermedad hepatica cronica ,103 ,0.1 ,155 ,1.1 
