,,Numerode,Casossegun,Fecha,deInicio,de,Sintomas.,Notificacion,0,Tomade,Muestra,,,,
,Residencia ,SE SE SE SE ,SE SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE 
Region de Notificacion O Toma de Muestra ,Desconocida ,9 10 11 12 ,13 14 ,15 ,16 17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 
Region de Arica y Parinacota ,5 ,O O 0 0 ,0 0 ,1 ,O O ,O ,O ,O ,1 ,O ,O ,O ,O ,O ,O 
Region de Tarapaca ,336 ,O O 0 O ,0 O ,1 ,O 1 ,5 ,95 ,29 ,27 ,25 ,31 ,26 ,20 ,22 ,17 
Region de Antofagasta ,177 ,0 0 0 0 ,0 0 ,0 ,O 5 ,0 ,1 ,1 ,0 ,0 ,5 ,10 ,41 ,30 ,32 
Region de Atacama ,13 ,O O O O ,0 O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,9 ,1 ,2 
Region de Coquimbo ,143 ,0 O 0 1 ,0 3 ,1 ,1 1 ,2 ,1 ,3 ,10 ,8 ,9 ,28 ,14 ,23 ,10 
Region de Valparaiso ,398 ,O 0 0 2 ,3 2 ,1 ,1 0 ,0 ,11 ,8 ,5 ,42 ,29 ,37 ,65 ,55 ,65 
Region Metropolitana de Santiago ,18313 ,O O 6 11 ,15 55 ,175 ,361 584 ,765 ,1602 ,2527 ,2778 ,2009 ,1665 ,1646 ,1671 ,1074 ,676 
Region del Libertador General Bernardo OHiggins ,96 ,O O O O ,O O ,2 ,O 0 ,O ,1 ,2 ,12 ,O ,8 ,4 ,22 ,12 ,6 
Region del Maule ,44 ,O O 0 1 ,0 O ,O ,O 1 ,O ,O ,1 ,O ,4 ,7 ,7 ,11 ,5 ,O 
Region del Nuble ,3 ,O O O O ,O O ,O ,O 0 ,O ,O ,O ,O ,O ,0 ,O ,O ,O ,O 
Region del Biobio ,153 ,O O O 1 ,O O ,O ,O O ,O ,2 ,4 ,6 ,7 ,9 ,9 ,33 ,43 ,10 
Region de la Araucania ,1 ,O 0 0 O ,1 0 ,O ,O 0 ,O ,0 ,0 ,O ,O ,O ,O ,0 ,0 ,O 
Region de Los Rios ,6 ,O O 1 O ,O O ,1 ,1 0 ,O ,O ,O ,O ,1 ,0 ,1 ,1 ,O ,O 
Region de Los Lagos ,61 ,O O 9 10 ,3 1 ,O ,O 3 ,O ,1 ,1 ,2 ,3 ,1 ,1 ,3 ,3 ,4 
Region de Aysen del General Carlos ibanez del Campo ,1 ,O O 1 O ,0 O ,O ,O 0 ,O ,O ,O ,O ,O ,O ,O ,O ,0 ,O 
Region de Magallanes y la Antartica Chilena ,70 ,O O O 1 ,O 1 ,42 ,14 4 ,2 ,1 ,O ,O ,O ,O ,1 ,1 ,1 ,1 
Desconocido ,72 ,O O O 2 ,16 2 ,4 ,5 5 ,5 ,1 ,O ,1 ,2 ,21 ,2 ,5 ,0 ,O 
Total pais ,19892 ,0 0 17 29 ,38 64 ,228 ,383 604 ,779 ,1716 ,2576 ,2842 ,2101 ,1785 ,1772 ,1896 ,1269 ,823 
