,,,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas.,NotificacionOToma,deMuestra,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE 12 13 14 ,SE SE SE SE 15 16 17 18 ,SE SE SE 19 20 21 ,SE SE SE SE 22 23 24 25 ,SE SE 26 27 
Aisen ,25002 ,12 ,48.0 ,O ,0.0 ,4 ,16.0 ,4 ,16.0 ,0 O 1 ,O 0 O ,0 0 O 0 ,O 0 1 ,2 0 2 4 ,2 0 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O ,O O 1 ,O 0 O 0 ,O 0 O ,0 0 O 0 ,O O 
Cisnes ,5828 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O O ,O 0 O ,O 0 O O ,O 0 O ,0 0 0 0 ,O O 
Cochrane ,3685 ,0 ,0.0 ,0O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O O ,O O O ,O O O O ,O O O ,0 O 0 0 ,0 O 
Coyhaique& ,61210 ,26 ,42.5 ,O ,0.0 ,11 ,18.0 ,11 ,18.0 ,O O 1 ,O O 1 ,O O O O ,1 0 4 ,3 3 2 4 ,7 O 
Guaitecas ,1599 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O 0 ,O 0 O ,O 0 O 0 ,O 0 O ,0 0 0 0 ,O 0 
Lago Verde ,920 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 ,O 0 0 ,O 0 O 0 ,O 0 0 ,0 0 0 0 ,O 0 
O'Higgins ,661 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 ,O O O ,O O O 0 ,O 0 O ,0 O O 0 ,O 0 
Rio ibanez ,2699 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 ,O O O ,O 0 O 0 ,O 0 O ,0 O 0 0 ,O 0 
Torte ,572 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 ,O 0 0 ,O 0 O 0 ,O 0 0 ,0 0 0 O ,O 0 
Desconocido& ,- ,1 ,- ,0 ,- ,0 ,- ,0 ,- ,O O 1 ,O 0 O ,0 O O 0 ,O 0 0 ,0 0 0 O ,0 0 
Total ,107297 ,40 ,37.3 ,0 ,0.0 ,15 ,14.0 ,15 ,14.0 ,0 0 3 ,0 0 2 ,0 0 0 0 ,1 0 5 ,5 3 4 8 ,9 0 
