,,,,,,Numero,deCasos,segunFechade,IniciodeSintomas,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE 12 13 14 ,SE 15 ,SE 16 ,SE SE SE 17 18 19 ,SE 20 ,SE SE 21 22 
Angol ,56058 ,138 ,246.2 ,12 ,21.4 ,12 ,21.4 ,O 1 1 ,3 10 11 ,15 ,35 ,27 11 10 ,5 ,9 O 
Carahue ,25486 ,45 ,176.6 ,9 ,35.3 ,9 ,35.3 ,0 0 0 ,0 3 10 ,9 ,8 ,5 1 0 ,1 ,8 0 
Cholchol ,12341 ,6 ,48.6 ,1 ,8.1 ,1 ,8.1 ,O 0 O ,1 2 O ,O ,1 ,O O 1 ,O ,1 O 
Collipulli ,26148 ,20 ,76.5 ,11 ,42.1 ,11 ,42.1 ,O O O ,O O 1 ,1 ,1 ,3 O 2 ,7 ,5 O 
Cunco ,18055 ,26 ,144.0 ,18 ,99.7 ,18 ,99.7 ,O O O ,O 3 2 ,0 ,1 ,O O 1 ,5 ,14 O 
Curacautin ,18178 ,7 ,38.5 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,2 0 2 ,0 ,0 ,2 0 1 ,O ,0 0 
Curarrehue ,7802 ,4 ,51.3 ,O ,0.0 ,O ,0.0 ,O 0 1 ,1 2 0 ,O ,O ,O 0 0 ,0 ,O O 
Ercilla ,8458 ,11 ,130.1 ,O ,0.0 ,O ,0.0 ,O O O ,O O 4 ,1 ,4 ,1 1 0 ,O ,O O 
Freire ,25446 ,40 ,157.2 ,19 ,74.7 ,19 ,74.7 ,0 0 0 ,2 4 0 ,0 ,2 ,0 0 11 ,10 ,11 0 
Galvarino ,12633 ,4 ,31.7 ,1 ,7.9 ,1 ,7.9 ,0 0 0 ,0 1 1 ,O ,O ,0 1 0 ,0 ,1 O 
Gorbea ,15148 ,18 ,118.8 ,2 ,13.2 ,2 ,13.2 ,O O 1 ,4 4 1 ,O ,2 ,O 1 3 ,O ,2 O 
Lautaro ,40746 ,61 ,149.7 ,7 ,17.2 ,7 ,17.2 ,1 0 O ,6 3 15 ,5 ,6 ,2 7 9 ,3 ,4 O 
Loncoche ,24739 ,21 ,84.9 ,1 ,4.0 ,1 ,4.0 ,O 0 0 ,2 3 2 ,4 ,3 ,3 1 2 ,1 ,O O 
Lonquimay ,11049 ,60 ,543.0 ,27 ,244.4 ,27 ,244.4 ,O O 0 ,O O O ,O ,O ,2 13 12 ,25 ,8 O 
LOs Sauces ,7517 ,1 ,13.3 ,O ,0.0 ,O ,0.0 ,O 0 O ,O O O ,O ,1 ,O O O ,O ,O O 
Lumaco ,10050 ,8 ,79.6 ,1 ,10.0 ,1 ,10.0 ,0 0 0 ,O 0 0 ,O ,4 ,2 1 0 ,1 ,0 O 
Melipeuco ,6265 ,3 ,47.9 ,3 ,47.9 ,3 ,47.9 ,O 0 O ,O O O ,O ,O ,O O O ,O ,3 O 
Nueva Imperial ,33777 ,53 ,156.9 ,6 ,17.8 ,6 ,17.8 ,O O O ,4 9 4 ,12 ,7 ,3 2 6 ,5 ,1 O 
Padre Las Casas ,82110 ,135 ,164.4 ,22 ,26.8 ,21 ,25.6 ,O 0 O ,12 28 24 ,17 ,15 ,11 O 5 ,15 ,8 O 
Perquenco ,7223 ,5 ,69.2 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,1 1 0 ,0 ,3 ,O 0 O ,0 ,0 O 
Pitrufquen ,26096 ,33 ,126.5 ,13 ,49.8 ,13 ,49.8 ,O 0 O ,4 8 4 ,O ,2 ,O O O ,6 ,6 3 
