,Fechade,iniciodesintomas,,Fecha,denotificacion
Fecha ,Confirmada ,No notificada ,Probable ,Confirmada ,No notificada 
22-02-2020 ,1 ,,,,
23-02-2020 ,1 ,,,,
24-02-2020 ,1 ,,1 ,,
25-02-2020 ,10 ,,,,
26-02-2020 ,2 ,,1 ,,
27-02-2020 ,4 ,,,,
28-02-2020 ,4 ,,,1 ,
29-02-2020 ,1 ,,,,
01-03-2020 ,9 ,,,,
02-03-2020 ,6 ,,1 ,1 ,
03-03-2020 ,9 ,,,1 ,
04-03-2020 ,9 ,,,2 ,
05-03-2020 ,28 ,,2 ,4 ,
06-03-2020 ,13 ,,2 ,1 ,
07-03-2020 ,14 ,,,2 ,
08-03-2020 ,23 ,,,6 ,
09-03-2020 ,36 ,,,2 ,
10-03-2020 ,65 ,1 ,1 ,10 ,1 
11-03-2020 ,52 ,,,17 ,
12-03-2020 ,68 ,,1 ,13 ,
13-03-2020 ,117 ,,1 ,24 ,
14-03-2020 ,150 ,3 ,,46 ,3 
15-03-2020 ,175 ,,3 ,50 ,
16-03-2020 ,280 ,2 ,2 ,84 ,2 
17-03-2020 ,259 ,2 ,,149 ,2 
18-03-2020 ,268 ,1 ,2 ,112 ,1 
19-03-2020 ,295 ,4 ,1 ,152 ,4 
20-03-2020 ,366 ,2 ,2 ,175 ,2 
21-03-2020 ,313 ,2 ,,166 ,2 
22-03-2020 ,299 ,5 ,,155 ,5 
23-03-2020 ,394 ,2 ,3 ,213 ,2 
24-03-2020 ,329 ,7 ,1 ,285 ,7 
25-03-2020 ,341 ,3 ,5 ,358 ,3 
26-03-2020 ,345 ,4 ,1 ,378 ,4 
27-03-2020 ,351 ,5 ,5 ,385 ,5 
28-03-2020 ,322 ,7 ,1 ,273 ,7 
29-03-2020 ,282 ,9 ,3 ,297 ,9 
30-03-2020 ,382 ,13 ,1 ,371 ,13 
31-03-2020 ,328 ,9 ,1 ,355 ,9 
01-04-2020 ,473 ,4 ,6 ,351 ,4 
02-04-2020 ,384 ,10 ,6 ,442 ,10 
03-04-2020 ,388 ,8 ,3 ,425 ,8 
04-04-2020 ,375 ,10 ,3 ,325 ,10 
05-04-2020 ,339 ,16 ,7 ,238 ,16 
06-04-2020 ,422 ,50 ,9 ,466 ,50 
07-04-2020 ,385 ,47 ,3 ,500 ,47 
08-04-2020 ,399 ,23 ,1 ,469 ,23 
09-04-2020 ,429 ,42 ,,433 ,42 
10-04-2020 ,450 ,19 ,2 ,249 ,19 
11-04-2020 ,337 ,30 ,2 ,287 ,30 
12-04-2020 ,369 ,29 ,2 ,209 ,29 
