,,,,,Numero,deCasos,segunFechade,IniciodeSintomas
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 
Andacollo ,11791 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O O O O O O 0 
Canela ,9546 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O 
Combarbala ,13884 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O 
Coquimbo ,256735 ,29 ,11.3 ,6 ,2.3 ,6 ,2.3 ,O O 4 13 3 1 O 2 4 2 
Illape ,32801 ,18 ,54.9 ,O ,0.0 ,O ,0.0 ,O O O O 4 7 7 O O O 
La Higuera ,4450 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O 
La Serena& ,249656 ,20 ,8.0 ,3 ,1.2 ,3 ,1.2 ,O O 1 3 6 4 1 2 2 1 
LOs Vilos ,23374 ,1 ,4.3 ,O ,0.0 ,O ,0.0 ,O O O 1 O O O O O O 
Monte Patria ,32527 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O 
Ovalle ,121269 ,10 ,8.2 ,1 ,0.8 ,1 ,0.8 ,0 0 2 2 4 1 O O 1 0 
Paiguano ,4675 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O O O O 0 O O 
Punitaqui ,12165 ,2 ,16.4 ,1 ,8.2 ,1 ,8.2 ,O O O O O O O 1 1 0 
Rio Hurtado ,4372 ,1 ,22.9 ,O ,0.0 ,O ,0.0 ,O O O 1 O O O O O O 
Salamanca ,29110 ,7 ,24.0 ,O ,0.0 ,O ,0.0 ,O O O 1 2 1 2 1 O O 
Vicuna ,29741 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O 
Total ,836096 ,88 ,10.5 ,11 ,1.3 ,11 ,1.3 ,0 0 7 21 19 14 10 6 8 3 
