,,,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas.NotificacionOTomadeMuestra,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ,SE SE SE 25 26 27 
Alto del Carmen ,5729 ,7 ,122.2 ,0 ,0.0 ,1 ,17.5 ,1 ,17.5 ,0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 ,1 0 1 
Caldera ,19426 ,46 ,236.8 ,0 ,0.0 ,23 ,118.4 ,23 ,118.4 ,0 0 0 0 0 0 0 0 0 2 2 1 1 3 2 7 ,5 17 6 
Chanarals ,13164 ,24 ,182.3 ,O ,0.0 ,3 ,22.8 ,3 ,22.8 ,O 0 0 0 0 0 0 0 0 O 0 0 1 0 2 6 ,12 3 O 
Copiapo8 ,171766 ,768 ,447.1 ,3 ,1.7 ,214 ,124.6 ,213 ,124.0 ,O O 1 O 2 1 4 0 12 27 27 14 26 57 112 123 ,148 157 57 
Diego de Almagro ,14358 ,38 ,264.7 ,1 ,7.0 ,5 ,34.8 ,5 ,34.8 ,1 0 0 0 1 0 0 0 0 1 1 4 3 6 4 8 ,4 4 1 
Freirina ,7681 ,25 ,325.5 ,O ,0.0 ,14 ,182.3 ,14 ,182.3 ,0 0 0 0 0 0 0 1 0 O 0 0 0 0 2 1 ,7 5 9 
Huasco ,11264 ,21 ,186.4 ,O ,0.0 ,5 ,44.4 ,5 ,44.4 ,0 O 0 O 0 O O O O 1 0 0 0 2 6 3 ,4 5 O 
Tierra Amarilla ,14312 ,72 ,503.1 ,O ,0.0 ,8 ,55.9 ,8 ,55.9 ,0 0 0 0 0 2 3 0 2 5 10 2 0 1 10 15 ,14 7 1 
Vallenar& ,57009 ,308 ,540.3 ,O ,0.0 ,93 ,163.1 ,93 ,163.1 ,0 0 O 0 0 0 1 9 11 9 13 2 6 15 27 54 ,68 52 41 
Desconocido& ,- ,10 ,- ,O ,- ,4 ,- ,4 ,- ,O 0 O O 0 0 O 0 0 0 0 0 0 0 0 O ,6 4 O 
Total ,314709 ,1319 ,419.1 ,4 ,1.3 ,370 ,117.6 ,369 ,117.3 ,1 0 1 0 3 3 8 10 25 45 53 23 37 85 168 218 ,269 254 116 
