,Sin,Hospitalizacion,Hospitalizados,
Comorbilidades ,No ,% ,No ,% 
Hipertension arterial ,34125 ,11.8 ,6808 ,32.0 
Diabetes ,14918 ,5.2 ,4255 ,20.0 
Obesidad ,8161 ,2.8 ,1512 ,7.1 
Asma ,7396 ,2.6 ,688 ,3.2 
Enfermedad cardiovascular ,1999 ,0.7 ,905 ,4.3 
Enfermedad pulmonar cronica ,1744 ,0.6 ,941 ,4.4 
Cardiopatia cronica ,1532 ,0.5 ,938 ,4.4 
Enfermedad renal cronica ,1381 ,0.5 ,923 ,4.3 
Enfermedad neurologica cronica ,955 ,0.3 ,630 ,3.0 
Inmunocomprometido ,304 ,0.1 ,239 ,1.0 
Enfermedad hepatica cronica ,233 ,0.1 ,241 ,1.1 
