,,Numero,deCasos,segun,Fechade,Inicio,deSintomas.,,Notificacion,O,Toma,de,Muestra,
,SE SE SE ,SE SE SE ,SE SE ,SE SE ,SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE SE ,SE SE 
Comuna ,9 10 11 ,12 13 14 ,15 16 ,17 18 ,19 ,20 ,21 22 ,23 ,24 ,25 ,26 ,27 ,28 29 ,30 31 
Cauquenes & ,O O O ,O 2 3 ,1 9 ,2 1 ,6 ,13 ,14 53 ,54 ,44 ,50 ,43 ,28 ,43 19 ,13 1 
Chanco ,O O O ,0 1 0 ,0 1 ,1 O ,1 ,O ,1 O ,8 ,6 ,9 ,1 ,1 ,10 6 ,2 O 
Colbun ,O O O ,O 3 3 ,O O ,O 1 ,4 ,9 ,13 15 ,10 ,22 ,23 ,15 ,22 ,15 17 ,20 2 
Constitucion & ,O O O ,O 3 3 ,5 7 ,4 1 ,2 ,3 ,5 6 ,20 ,24 ,45 ,52 ,37 ,39 51 ,46 4 
Curepto ,O O O ,O O 2 ,2 4 ,O 1 ,1 ,2 ,O 1 ,1 ,3 ,10 ,6 ,5 ,2 4 ,3 2 
Curico & ,O 1 2 ,3 6 3 ,12 10 ,10 12 ,20 ,44 ,148 192 ,278 ,262 ,236 ,219 ,165 ,157 134 ,131 20 
Empedrado ,O O O ,O O O ,O O ,O O ,O ,O ,O O ,2 ,6 ,14 ,4 ,1 ,2 1 ,1 1 
Hualane ,O O O ,O O O ,O 1 ,O O ,O ,3 ,15 29 ,29 ,20 ,11 ,4 ,1 ,O 2 ,O O 
Licanten ,O O O ,0 O 1 ,O 1 ,O O ,O ,0 ,O 2 ,5 ,4 ,5 ,1 ,O ,3 O ,1 1 
Linares ,1 O O ,2 5 5 ,4 6 ,3 4 ,13 ,17 ,18 30 ,42 ,82 ,92 ,78 ,81 ,84 64 ,66 9 
Longavi & ,O O O ,1 O 1 ,1 1 ,O 2 ,5 ,12 ,11 23 ,28 ,52 ,34 ,25 ,28 ,25 6 ,10 O 
Maule & ,O O O ,1 1 2 ,6 12 ,3 O ,3 ,14 ,13 28 ,31 ,36 ,49 ,38 ,52 ,46 61 ,43 4 
Molina ,O O O ,1 2 0 ,1 3 ,O O ,2 ,4 ,9 21 ,23 ,22 ,44 ,46 ,20 ,30 18 ,23 3 
Parral ,O O O ,1 3 2 ,2 2 ,O O ,6 ,7 ,42 55 ,29 ,25 ,31 ,13 ,17 ,15 11 ,9 3 
Pelarco & ,O O O ,O 0 O ,3 2 ,O 2 ,4 ,5 ,4 5 ,6 ,5 ,3 ,3 ,3 ,14 23 ,31 2 
Pelluhue ,O O O ,1 O O ,1 O ,O O ,1 ,7 ,1 9 ,12 ,15 ,10 ,O ,3 ,1 2 ,5 O 
Pencahue ,O O O ,O O O ,O 3 ,O O ,O ,O ,8 4 ,2 ,7 ,3 ,5 ,11 ,8 3 ,2 O 
Rauco & ,O O O ,O 1 1 ,O 1 ,O O ,1 ,1 ,7 7 ,7 ,15 ,3 ,10 ,8 ,17 17 ,8 4 
Retiro ,O O O ,O O O ,1 O ,O 1 ,O ,1 ,17 42 ,14 ,18 ,12 ,12 ,12 ,2 2 ,7 3 
Rio Claro & ,O O O ,2 O 1 ,1 3 ,2 O ,2 ,2 ,2 8 ,3 ,4 ,13 ,13 ,18 ,2 4 ,14 6 
Romeral ,O O O ,1 2 O ,O 10 ,O O ,O ,8 ,13 20 ,23 ,35 ,58 ,34 ,13 ,7 15 ,16 1 
Sagrada Familia ,O O O ,O O 1 ,O 1 ,O 1 ,1 ,O ,3 7 ,17 ,8 ,10 ,9 ,11 ,9 7 ,5 1 
San Clemente & ,O 1 0 ,O 0 1 ,2 7 ,1 7 ,7 ,14 ,18 21 ,39 ,43 ,57 ,87 ,78 ,58 47 ,20 5 
San Javier ,O O O ,1 2 7 ,4 7 ,4 3 ,7 ,8 ,9 22 ,53 ,41 ,42 ,30 ,46 ,54 48 ,58 10 
San Rafael ,O O O ,O 1 O ,1 1 ,O O ,5 ,10 ,28 7 ,17 ,8 ,11 ,14 ,12 ,6 3 ,2 O 
