,,,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas.NotificacionO,Tomade
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero Casos Actuales ,,,,,
Alto Hospicio& ,129999 ,1949 ,1499.2 ,25 ,19.2 ,218 ,167.7 ,218 ,167.7 ,0 0 0 3 4 6 14 24 37 ,111 
Camina& ,1375 ,25 ,1818.2 ,2 ,145.5 ,8 ,,,,,
Colchane ,1583 ,54 ,3411.2 ,2 ,126.3 ,24 ,1516.1 ,24 ,1516.1 ,0 0 0 0 O 0 0 0 0 ,O 
Huara ,3000 ,65 ,2166.7 ,3 ,100.0 ,9 ,,,,,
Iquique& ,223463 ,3210 ,1436.5 ,64 ,28.6 ,496 ,222.0 ,495 ,221.5 ,0 0 0 9 6 14 11 21 42 ,104 
Pica ,5958 ,90 ,1510.6 ,0 ,0.0 ,17 ,285.3 ,17 ,285.3 ,0 0 0 0 1 7 14 10 0 ,1 
Pozo Almonte ,17395 ,377 ,2167.3 ,3 ,17.2 ,64 ,367.9 ,64 ,367.9 ,0 0 0 0 1 2 0 0 0 ,3 
Desconocido& ,- ,260 ,- ,0 ,,36 ,,,,,
Total ,382773 ,6030 ,1575.3 ,99 ,25.9 ,872 ,227.8 ,871 ,227.6 ,0 0 0 12 12 30 39 55 82 ,231 
