Grupoedad,,Hombre,,,Mujer,,,Total,
,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,1378 ,1.9 ,227.2 ,1246 ,1.9 ,213.4 ,2624 ,1.9 ,220.4 
05 09 anos ,1009 ,1.4 ,154.5 ,948 ,1.4 ,150.6 ,1957 ,1.4 ,152.6 
10 14 anos ,1176 ,1.6 ,182.7 ,1137 ,1.7 ,183.0 ,2313 ,1.7 ,182.8 
15 19 anos ,1976 ,2.7 ,308.4 ,2185 ,3.3 ,352.7 ,4161 ,3.0 ,330.2 
20 24 anos ,5531 ,7.6 ,754.6 ,5289 ,8.1 ,744.8 ,10820 ,7.8 ,749.7 
25 29 anos ,9264 ,12.6 ,1106.3 ,8710 ,13.3 ,1072.9 ,17974 ,12.9 ,1089.9 
30 34 anos ,9614 ,13.1 ,1186.6 ,8336 ,12.7 ,1060.6 ,17950 ,12.9 ,1124.5 
35 39 anos ,8000 ,10.9 ,1102.9 ,6646 ,10.1 ,936.2 ,14646 ,10.5 ,1020.5 
40 44 anos ,6615 ,9.0 ,979.6 ,5466 ,8.3 ,813.7 ,12081 ,8.7 ,896.9 
45 49 anos ,6348 ,8.7 ,1005.8 ,5666 ,8.6 ,884.8 ,12014 ,8.7 ,944.9 
50 54 anos ,5980 ,8.2 ,994.9 ,5148 ,7.8 ,825.8 ,11128 ,8.0 ,908.8 
55 59 anos ,5436 ,7.4 ,979.7 ,4661 ,7.1 ,789.2 ,10097 ,7.3 ,881.5 
60 64 anos ,4084 ,5.6 ,867.0 ,3221 ,4.9 ,621.4 ,7305 ,5.3 ,738.3 
65 69 anos ,2481 ,3.4 ,654.8 ,2094 ,3.2 ,480.6 ,4575 ,3.3 ,561.6 
70 74 anos ,1776 ,2.4 ,672.5 ,1601 ,2.4 ,501.4 ,3377 ,2.4 ,578.9 
75 79 anos ,1200 ,1.6 ,680.3 ,1194 ,1.8 ,503.0 ,2394 ,1.7 ,578.6 
80 y mas anos ,1372 ,1.9 ,698.2 ,2054 ,3.1 ,586.3 ,3426 ,2.5 ,626.5 
Total ,73240 ,100 ,763.0 ,65602 ,100 ,665.4 ,138842 ,100 ,713.5 
