,,,,,,,Numero,deCasos,segun,FechadeInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abri al 18 de abril) 
Bulnes ,22.607 ,48 ,"212,3 ",9 ,"39,8 ",9 ,"39,8 ",O ,0 ,0 ,8 ,27 ,9 ,4 ,0 
Chillan ,198.624 ,373 ,"187,8 ",66 ,"33,2 ",61 ,"30,7 ",1 ,2 ,31 ,120 ,119 ,76 ,23 ,1 
Chillan Viejo ,33.827 ,45 ,"133,0 ",11 ,"32,5 ",11 ,"32,5 ",0 ,O ,4 ,5 ,22 ,8 ,6 ,O 
Cobquecura ,5.275 ,O ,"0,0 ",O ,"0,0 ",O ,"0,0 ",O ,O ,0 ,O ,O ,O ,O ,O 
Coelemu ,16.845 ,4 ,"23,7 ",0 ,"0,0 ",0 ,"0,0 ",O ,0 ,O ,O ,2 ,2 ,O ,0 
Coihueco ,28.375 ,11 ,"38,8 ",5 ,"17,6 ",4 ,"14,1 ",O ,O ,0 ,3 ,2 ,3 ,3 ,0 
EI Carmen ,12.334 ,3 ,"24,3 ",1 ,"8,1 ",1 ,"8,1 ",0 ,0 ,0 ,1 ,1 ,1 ,0 ,0 
Ninhue ,5.414 ,3 ,"55,4 ",2 ,"36,9 ",2 ,"36,9 ",O ,O ,0 ,O ,O ,2 ,O ,1 
Niquen ,11.567 ,2 ,"17,3 ",2 ,"17,3 ",2 ,"17,3 ",O ,O ,0 ,O ,0 ,0 ,2 ,O 
Pemuco ,8.639 ,4 ,"46,3 ",2 ,"23,2 ",2 ,"23,2 ",O ,O ,0 ,1 ,O ,3 ,O ,0 
Pinto ,11.880 ,10 ,"84,2 ",4 ,"33,7 ",4 ,"33,7 ",O ,O ,0 ,2 ,2 ,4 ,1 ,1 
Portezuelo ,4.940 ,0 ,"0,0 ",O ,"0,0 ",0 ,"0,0 ",O ,O ,O ,O ,O ,O ,O ,O 
Quillon ,18.777 ,23 ,"122,5 ",1 ,"5,3 ",0 ,"0,0 ",0 ,O ,1 ,8 ,8 ,6 ,O ,0 
Quirihue ,12.192 ,2 ,"16,4 ",0 ,"0,0 ",0 ,"0,0 ",O ,O ,0 ,0 ,0 ,2 ,O ,0 
Ranquil ,6.261 ,9 ,"143,7 ",2 ,"31,9 ",2 ,"31,9 ",O ,O ,O ,3 ,2 ,4 ,O ,O 
San Carlos ,56.252 ,31 ,"55,1 ",10 ,"17,8 ",10 ,"17,8 ",0 ,O ,3 ,7 ,9 ,9 ,3 ,0 
San Fabian ,4.654 ,6 ,"128,9 ",1 ,"21,5 ",1 ,"21,5 ",O ,O ,O ,2 ,3 ,1 ,O ,O 
San Ignacio ,16.624 ,4 ,"24,1 ",1 ,"6,0 ",1 ,"6,0 ",O ,O ,0 ,1 ,2 ,1 ,O ,0 
San Nicolas ,12.172 ,14 ,"115,0 ",6 ,"49,3 ",6 ,"49,3 ",O ,0 ,1 ,1 ,4 ,5 ,3 ,0 
Treguaco ,5.696 ,0 ,"0,0 ",0 ,"0,0 ",0 ,"0,0 ",O ,O ,O ,O ,0 ,O ,O ,0 
Yungay ,18.596 ,42 ,"225,9 ",17 ,"91,4 ",17 ,"91,4 ",O ,O ,0 ,6 ,11 ,23 ,2 ,0 
Total ,511.551 ,634 ,"123,9 ",140 ,"27,4 ",133 ,"26,0 ",1 ,2 ,40 ,168 ,214 ,159 ,47 ,3 
