,,,,,,,,Numerode,Casossegun,Fecha,deInicio,de,Sintomas,(segunsemana,,epidemiologica),
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,9 10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 
Cauquenes ,44143 ,13 ,29.4 ,2 ,4.5 ,2 ,4.5 ,O O ,O ,0 ,2 ,3 ,1 ,5 ,2 ,O ,0 
Chanco ,9331 ,3 ,32.2 ,1 ,10.7 ,1 ,10.7 ,O O ,0 ,0 ,1 ,O ,O ,1 ,1 ,O ,O 
Colbun ,22565 ,6 ,26.6 ,O ,0.0 ,O ,0.0 ,O O ,O ,O ,3 ,3 ,O ,0 ,O ,O ,O 
Constitucion ,50348 ,23 ,45.7 ,5 ,9.9 ,5 ,9.9 ,O O ,0 ,0 ,3 ,3 ,5 ,7 ,4 ,1 ,O 
Curepto ,9426 ,8 ,84.9 ,0 ,0.0 ,O ,0.0 ,O O ,0 ,O ,0 ,3 ,2 ,3 ,O ,O ,O 
Curico ,163626 ,45 ,27.5 ,6 ,3.7 ,6 ,3.7 ,O 1 ,2 ,3 ,6 ,3 ,12 ,10 ,8 ,O ,O 
Empedrado ,4206 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 ,O ,0 ,O ,O ,0 ,0 ,O ,O ,O 
Hualane ,10222 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O ,O ,O ,0 ,O ,0 ,0 ,O ,O ,O 
Licanten ,6989 ,2 ,28.6 ,O ,0.0 ,O ,0.0 ,O O ,O ,0 ,0 ,1 ,0 ,1 ,O ,O ,O 
Linares ,101073 ,27 ,26.7 ,3 ,3.0 ,3 ,3.0 ,1 0 ,O ,2 ,5 ,5 ,4 ,6 ,3 ,1 ,O 
Longavi ,32810 ,4 ,12.2 ,0 ,0.0 ,0 ,0.0 ,O 0 ,0 ,1 ,0 ,1 ,1 ,1 ,0 ,0 ,O 
Maule ,60000 ,23 ,38.3 ,1 ,1.7 ,1 ,1.7 ,O 0 ,O ,1 ,1 ,2 ,5 ,13 ,1 ,O ,O 
Molina ,49800 ,7 ,14.1 ,0 ,0.0 ,O ,0.0 ,O O ,O ,1 ,2 ,O ,1 ,3 ,O ,O ,O 
Parral ,44544 ,9 ,20.2 ,O ,0.0 ,O ,0.0 ,O 0 ,O ,1 ,3 ,2 ,2 ,1 ,0 ,O ,O 
Pelarco ,9083 ,5 ,55.0 ,O ,0.0 ,O ,0.0 ,O 0 ,O ,O ,0 ,O ,3 ,2 ,O ,O ,O 
Pelluhue ,8092 ,2 ,24.7 ,0 ,0.0 ,0 ,0.0 ,0 O ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,O ,O 
Pencahue ,8601 ,3 ,34.9 ,0 ,0.0 ,0 ,0.0 ,0 0 ,O ,O ,0 ,O ,0 ,3 ,O ,0 ,O 
Rauco ,11248 ,2 ,17.8 ,0 ,0.0 ,O ,0.0 ,O 0 ,0 ,0 ,1 ,1 ,0 ,0 ,O ,O ,O 
Retiro ,21071 ,1 ,4.7 ,O ,0.0 ,O ,0.0 ,O 0 ,O ,0 ,O ,O ,1 ,0 ,O ,O ,O 
Rio Claro ,14753 ,9 ,61.0 ,2 ,13.6 ,2 ,13.6 ,O O ,O ,2 ,0 ,1 ,1 ,3 ,2 ,O ,O 
Romeral ,16170 ,13 ,80.4 ,0 ,0.0 ,O ,0.0 ,0 0 ,0 ,1 ,2 ,O ,0 ,10 ,O ,O ,0 
