,Sin,Hospitalizacion,Hospitalizados,
Comorbilidades ,No ,% ,No ,% 
Hipertension arterial ,24774 ,11.6 ,5302 ,30.9 
Diabetes ,10780 ,5.0 ,3353 ,19.5 
Obesidad ,5789 ,2.7 ,1150 ,6.7 
Asma ,5392 ,2.5 ,548 ,3.2 
Enfermedad cardiovascular ,1500 ,0.7 ,708 ,4.1 
Enfermedad pulmonar cronica ,1233 ,0.6 ,739 ,4.3 
Cardiopatia cronica ,1152 ,0.5 ,746 ,4.3 
Enfermedad renal cronica ,982 ,0.5 ,734 ,4.3 
Enfermedad neurologica cronica ,696 ,0.3 ,476 ,2.8 
Inmunocomprometido ,149 ,0.1 ,167 ,1.0 
Enfermedad hepatica cronica ,160 ,0.1 ,177 ,1.0 
