Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Aisen ,25002 ,59 ,236.0 ,4 ,16.0 ,4 ,16.0 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,O ,0.0 
Cisnes ,5828 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Cochrane ,3685 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Coyhaique ,61210 ,37 ,60.4 ,O ,0.0 ,O ,0.0 
Guaitecas ,1599 ,1 ,62.5 ,O ,0.0 ,0 ,0.0 
Lago Verde ,920 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
O'Higgins ,661 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 
Rio ibanez ,2699 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Tortel ,572 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 
Desconocido ,- ,1 ,- ,0 ,- ,0 ,- 
Total ,107297 ,99 ,92.3 ,4 ,3.7 ,4 ,3.7 
