,SinHospitalizacion,,Hospitalizados,
Signos / Sintoma ,No ,% ,NO ,% 
Cefalea ,97888 ,59.6 ,9291 ,61.6 
Tos ,94246 ,57.3 ,7580 ,50.3 
Mialgia ,93630 ,57.0 ,6586 ,43.7 
Fiebre ,67976 ,41.4 ,6285 ,41.7 
Odinofagia ,55893 ,34.0 ,4981 ,33.0 
Anosmia ,28087 ,17.1 ,2757 ,18.3 
Ageusia ,21841 ,13.3 ,2057 ,13.6 
Disnea ,17994 ,10.9 ,1629 ,10.8 
Diarrea ,15338 ,9.3 ,1230 ,8.2 
Dolor toracico ,13718 ,8.3 ,934 ,6.2 
Dolor abdominal ,9117 ,5.5 ,720 ,4.8 
Taquipnea ,1836 ,1.1 ,600 ,4.0 
Cianosis ,162 ,0.1 ,316 ,2.1 
