,,,,,,Numero,deCasossegun,FechadeInicio,de,Sintomas,,
Region ,Poblacion ,Numero de Casos ,Tasa incidencia ,Numero de Casos ,Tasa de Incidencia ,Numero de Casos ,Tasa de Incidencia ,SE SE SE SE ,SE ,SE ,SE SE ,SE SE SE SE 
,,Confirmados ,acumulada ,Actuales ,Actual ,Activos ,Activos ,9 10 11 12 ,13 ,14 ,15 16 ,17 18 19 20 
Bulnes ,22607 ,80 ,353.9 ,13 ,57.5 ,13 ,57.5 ,0 0 0 10 ,27 ,10 ,7 7 ,5 8 6 0 
Chillan& ,198624 ,429 ,216.0 ,20 ,10.1 ,20 ,10.1 ,0 1 27 116 ,116 ,74 ,33 24 ,16 11 11 0 
Chillan Viejo ,33827 ,57 ,168.5 ,2 ,5.9 ,2 ,5.9 ,0 0 5 7 ,19 ,7 ,13 3 ,1 0 2 0 
Cobquecura ,5275 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 ,O ,0 0 ,0 0 O 0 
Coelemu ,16845 ,4 ,23.7 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,2 ,2 ,0 0 ,0 0 0 0 
Coihueco ,28375 ,42 ,148.0 ,2 ,7.0 ,2 ,7.0 ,0 0 0 3 ,3 ,4 ,6 12 ,12 2 O O 
El Carmen ,12334 ,4 ,32.4 ,1 ,8.1 ,1 ,8.1 ,0 0 0 2 ,0 ,1 ,0 0 ,0 0 1 0 
Ninhue ,5414 ,4 ,73.9 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 ,2 ,0 2 ,0 0 0 0 
Niquen ,11567 ,3 ,25.9 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 ,1 ,2 0 ,0 0 0 0 
Pemuco ,8639 ,7 ,81.0 ,1 ,11.6 ,1 ,11.6 ,0 0 0 1 ,0 ,4 ,1 0 ,0 0 1 0 
Pinto ,11880 ,12 ,101.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 2 ,3 ,5 ,1 1 ,0 0 0 0 
Portezuelo ,4940 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 ,0 ,0 0 ,0 0 0 0 
Quillon ,18777 ,33 ,175.7 ,3 ,16.0 ,3 ,16.0 ,0 0 1 8 ,9 ,8 ,1 0 ,3 2 1 0 
Quirihue ,12192 ,8 ,65.6 ,4 ,32.8 ,4 ,32.8 ,0 0 0 0 ,1 ,2 ,0 1 ,0 1 3 0 
Ranquil ,6261 ,10 ,159.7 ,0 ,0.0 ,0 ,0.0 ,0 0 0 1 ,3 ,6 ,0 0 ,0 0 0 0 
San Carlos ,56252 ,42 ,74.7 ,6 ,10.7 ,6 ,10.7 ,0 0 2 6 ,10 ,9 ,2 3 ,3 2 5 0 
San Fabian ,4654 ,8 ,171.9 ,0 ,0.0 ,0 ,0.0 ,0 0 0 3 ,3 ,1 ,0 1 ,0 0 O 0 
San Ignacio ,16624 ,11 ,66.2 ,2 ,12.0 ,2 ,12.0 ,0 0 0 2 ,2 ,1 ,0 1 ,3 2 0 0 
San Nicolas ,12172 ,15 ,123.2 ,0 ,0.0 ,0 ,0.0 ,0 0 0 2 ,5 ,4 ,4 0 ,0 0 0 0 
Treguaco ,5696 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 ,0 ,0 0 ,0 0 0 0 
