,,,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas.NotificacionO,Tomade,Muestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE SE SE 12 13 14 15 16 ,SE SE 17 18 ,SE SE 19 20 ,SE 21 ,SE SE 22 23 ,SE SE 24 25 
Alto Hospicio& ,129999 ,1672 ,1286.2 ,18 ,13.8 ,243 ,186.9 ,243 ,186.9 ,O 0 0 ,2 4 6 14 24 ,38 109 ,138 ,266 317 ,314 260 ,148 32 
Camina& ,1375 ,16 ,1163.6 ,2 ,145.5 ,2 ,145.5 ,1 ,72.7 ,O 0 0 ,0 O O O O ,O O ,O 0 ,3 ,7 4 ,1 1 
Colchane ,1583 ,26 ,1642.5 ,2 ,126.3 ,15 ,947.6 ,14 ,884.4 ,O O O ,O O O O O ,0 O ,O O ,2 ,1 9 ,10 4 
Huara8 ,3000 ,55 ,1833.3 ,2 ,66.7 ,10 ,333.3 ,10 ,333.3 ,O 0 O ,O O O 0 0 ,2 8 ,2 10 ,6 ,8 13 ,6 O 
Iquique8 ,223463 ,2698 ,1207.4 ,45 ,20.1 ,576 ,257.8 ,575 ,257.3 ,0 0 O ,9 6 14 11 19 ,42 104 ,259 401 ,500 ,449 428 ,358 98 
Pica ,5958 ,77 ,1292.4 ,0 ,0.0 ,15 ,251.8 ,15 ,251.8 ,O O O ,O 1 7 14 10 ,0 1 ,4 1 ,7 ,8 9 ,11 4 
Pozo Almonte& ,17395 ,298 ,1713.1 ,2 ,11.5 ,130 ,747.3 ,130 ,747.3 ,O 0 0 ,0 0 2 0 0 ,0 3 ,5 14 ,37 ,57 88 ,87 5 
Desconocido ,- ,258 ,- ,0 ,- ,44 ,- ,44 ,- ,0 0 O ,0 0 1 0 1 ,1 4 ,99 25 ,32 ,26 34 ,28 7 
Total ,382773 ,5100 ,1332.4 ,71 ,18.5 ,1035 ,270.4 ,1032 ,269.6 ,0 0 0 ,11 11 30 39 54 ,83 229 ,507 ,717 904 ,870 845 ,649 151 
