,,,,,,Numerode,CasossegunFecha,deIniciodeSintomas
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 
Chepica ,15925 ,3 ,18.8 ,3 ,18.8 ,3 ,18.8 ,O 0 O 0 0 0 0 0 0 0 
Chimbarongo ,37696 ,5 ,13.3 ,2 ,5.3 ,2 ,5.3 ,O 0 O 1 1 0 O O 0 1 
Codegua ,14096 ,4 ,28.4 ,1 ,7.1 ,1 ,7.1 ,O O O 1 O O O O 1 0 
Coinco ,7831 ,5 ,63.8 ,4 ,51.1 ,4 ,51.1 ,0 O 0 0 0 0 O 0 1 0 
Coltauco ,21263 ,16 ,75.2 ,15 ,70.5 ,15 ,70.5 ,O 0 O O 0 0 O O O 0 
Donihue ,22700 ,14 ,61.7 ,9 ,39.6 ,9 ,39.6 ,O O O O O O O 1 0 4 
Graneros ,36504 ,27 ,74.0 ,16 ,43.8 ,16 ,43.8 ,O O O O O O O O 3 7 
La Estrella ,3114 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O 0 0 O 0 O O 0 O 
Las Cabras ,26749 ,12 ,44.9 ,2 ,7.5 ,2 ,7.5 ,O 0 O O 0 0 1 2 4 3 
Litueche ,6765 ,9 ,133.0 ,1 ,14.8 ,1 ,14.8 ,0 0 O 0 0 0 O 1 5 2 
Lolol ,7289 ,1 ,13.7 ,1 ,13.7 ,1 ,13.7 ,0 0 0 O O 0 0 0 0 0 
Machali ,59913 ,26 ,43.4 ,7 ,11.7 ,6 ,10.0 ,O 0 1 4 1 0 4 O 5 3 
Malloa ,14163 ,2 ,14.1 ,2 ,14.1 ,2 ,14.1 ,O 0 O O 0 0 0 O 0 0 
Marchihue ,7632 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O O O O O 0 O 
Mostaza ,27462 ,7 ,25.5 ,5 ,18.2 ,5 ,18.2 ,O 0 O O O O O 0 0 2 
Nancagua ,19141 ,4 ,20.9 ,3 ,15.7 ,3 ,15.7 ,O 0 0 0 0 0 0 0 0 1 
Navidad ,6904 ,8 ,115.9 ,5 ,72.4 ,5 ,72.4 ,O 0 O O 0 0 0 O 3 0 
Olivar ,14624 ,14 ,95.7 ,8 ,54.7 ,8 ,54.7 ,O O O O 1 2 2 1 0 O 
Palmilla ,13299 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 O O 0 O O 0 0 
Paredones ,6349 ,2 ,31.5 ,2 ,31.5 ,2 ,31.5 ,O 0 O O O 0 O O O O 
