,,,,,,,,Numero,deCasossegun,FechadeIniciodeSintomas.Notificaciono,Tomade,Muestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 ,SE SE 19 20 ,SE 21 ,SE SE 22 23 ,SE SE 24 25 ,SE SE 26 27 
Alto Hospicio& ,129999 ,2065 ,1588.5 ,30 ,23.1 ,206 ,158.5 ,205 ,157.7 ,0 0 0 3 4 6 14 24 37 112 ,141 269 ,317 ,312 257 ,205 158 ,170 36 
Camina ,1375 ,33 ,2400.0 ,2 ,145.5 ,13 ,945.5 ,13 ,945.5 ,0 0 0 O 0 0 O 0 0 0 ,0 0 ,3 ,8 4 ,2 3 ,10 3 
Colchane ,1583 ,61 ,3853.4 ,2 ,126.3 ,15 ,947.6 ,15 ,947.6 ,O 0 0 0 0 0 0 0 0 0 ,O 0 ,2 ,1 10 ,18 15 ,13 2 
Huara8 ,3000 ,78 ,2600.0 ,3 ,100.0 ,15 ,500.0 ,15 ,500.0 ,O O 0 O O 0 O 0 2 8 ,2 10 ,7 ,8 11 ,7 8 ,10 5 
Iquique& ,223463 ,3583 ,1603.4 ,69 ,30.9 ,456 ,204.1 ,455 ,203.6 ,0 0 0 9 7 14 11 21 42 104 ,258 402 ,501 ,455 442 ,454 407 ,318 138 
Pica ,5958 ,111 ,1863.0 ,0 ,0.0 ,29 ,486.7 ,29 ,486.7 ,O 0 0 0 1 7 14 10 0 1 ,4 1 ,7 ,8 9 ,10 10 ,14 15 
Pozo Almonte& ,17395 ,429 ,2466.2 ,6 ,34.5 ,55 ,316.2 ,55 ,316.2 ,O 0 0 O 1 2 0 0 O 3 ,5 15 ,38 ,57 90 ,103 60 ,32 23 
Desconocido& ,- ,302 ,- ,O ,- ,40 ,- ,40 ,- ,O O 0 O 0 1 O 0 0 3 ,96 28 ,29 ,23 36 ,27 19 ,22 18 
Total ,382773 ,6662 ,1740.5 ,112 ,29.3 ,829 ,216.6 ,827 ,216.1 ,0 0 0 12 13 30 39 55 81 231 ,506 725 ,904 ,872 859 ,826 680 ,589 240 
