,,,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas.,NotificacionO,Tomade,Muestra,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE 15 16 ,SE SE 17 18 ,SE SE 19 20 ,SE SE SE 21 22 23 ,SE SE 24 25 
Antartica ,137 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 0 ,O O ,O O ,O O ,O O ,O O O ,0 0 
Cabo de Hornos& ,1983 ,21 ,1059.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 2 7 ,7 1 ,2 0 ,O 0 ,1 0 ,1 0 0 ,0 0 
Laguna Blanca ,264 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O ,O O ,O O ,O 0 ,0 0 ,O 0 0 ,0 0 
Natales8 ,23782 ,22 ,92.5 ,O ,0.0 ,2 ,8.4 ,2 ,8.4 ,O O 1 3 ,4 O ,2 0 ,O 4 ,0 3 ,3 O 0 ,O 2 
Porvenir ,7323 ,10 ,136.6 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 0 O ,3 1 ,2 2 ,O O ,1 O ,O O 1 ,O O 
Primavera ,694 ,3 ,432.3 ,0 ,0.0 ,1 ,144.1 ,1 ,144.1 ,0 0 0 0 ,0 0 ,1 0 ,O O ,0 O ,O 0 1 ,0 1 
Punta Arenas& ,141984 ,1257 ,885.3 ,16 ,11.3 ,168 ,118.3 ,168 ,118.3 ,O 2 5 65 ,121 149 ,156 133 ,85 108 ,82 52 ,50 25 41 ,119 64 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 ,O O ,O O ,O O ,O O ,O O 0 ,O O 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O 0 0 ,O O ,O 0 ,O O ,2 0 ,O 0 0 ,O 0 
Timaukel ,282 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O 0 0 ,O O ,0 0 ,O 0 ,0 0 ,O 0 0 ,O 0 
Torres del Paine ,1021 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,O O ,0 0 ,O O ,0 0 ,O 0 0 ,O 0 
Desconocido& ,- ,69 ,- ,O ,- ,2 ,- ,2 ,- ,O O 0 1 ,O 1 ,42 16 ,5 1 ,1 O ,O O 0 ,1 1 
Total ,178362 ,1384 ,776.0 ,16 ,9.0 ,173 ,97.0 ,173 ,97.0 ,0 2 8 76 ,135 152 ,205 151 ,90 113 ,87 55 ,54 25 43 ,120 68 
