,,,NumerodeCasossegun,Fecha,deInicio,de,Sintomas.,Notificacion,O,Tomade,Muestra,,,
,,SE SE SE SE SE SE ,SE SE SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE SE SE 
Region de Notificacion O Toma de Muestra ,Residencia Desconocida ,9 10 11 12 13 14 ,15 16 17 18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 30 31 
Region de Arica y Parinacota ,6 ,O O 0 O 0 O ,1 O 0 O ,O ,0 ,1 ,O ,O ,O ,O ,0 ,O ,O ,1 3 0 
Region de Tarapaca ,372 ,O O O O O O ,1 O 1 5 ,95 ,29 ,27 ,25 ,31 ,26 ,20 ,23 ,15 ,20 ,36 18 0 
Region de Antofagasta ,208 ,O 0 O O 0 O ,O O 5 O ,1 ,1 ,O ,0 ,5 ,10 ,41 ,30 ,32 ,32 ,36 15 O 
Region de Atacama ,14 ,O 0 O O 0 O ,O O 0 O ,O ,O ,O ,0 ,O ,O ,9 ,1 ,2 ,1 ,1 0 O 
Region de Coquimbo ,152 ,O 0 O 1 O 3 ,1 1 1 2 ,1 ,3 ,10 ,8 ,9 ,18 ,13 ,22 ,10 ,18 ,19 12 0 
Region de Valparaiso ,408 ,O O 0 2 3 3 ,1 1 0 O ,11 ,8 ,5 ,39 ,29 ,37 ,65 ,53 ,64 ,34 ,35 18 0 
Region Metropolitana de Santiago ,17499 ,0 O 7 10 19 55 ,177 363 585 754 ,1557 ,2440 ,2675 ,1815 ,1584 ,1527 ,1561 ,985 ,562 ,422 ,249 152 0 
Region del Libertador General Bernardo OHiggins ,86 ,O O 0 O 0 0 ,2 O 0 O ,1 ,2 ,12 ,O ,8 ,4 ,16 ,12 ,5 ,19 ,3 2 O 
Region del Maule ,36 ,O O 0 1 O O ,O O 1 O ,O ,1 ,O ,2 ,4 ,7 ,10 ,5 ,0 ,2 ,3 0 O 
Region del Nuble ,4 ,O O 0 O 0 O ,0 O 0 O ,O ,0 ,O ,O ,0 ,O ,O ,0 ,O ,2 ,0 2 0 
Region del Biobio ,159 ,O O 0 1 0 0 ,0 O O O ,2 ,4 ,6 ,7 ,9 ,8 ,30 ,40 ,8 ,11 ,11 22 O 
Region de La Araucania ,4 ,O 0 O O 1 O ,O O O O ,O ,O ,O ,1 ,O ,O ,O ,O ,O ,O ,O 2 O 
Region de Los Rios ,6 ,O O 1 O 0 0 ,1 1 O O ,O ,O ,0 ,1 ,O ,1 ,1 ,0 ,O ,O ,O O 0 
Region de Los Lagos ,73 ,O 0 9 10 3 1 ,O 1 3 O ,1 ,1 ,2 ,3 ,1 ,1 ,3 ,3 ,4 ,12 ,7 8 0 
Region de Aysen del General Carlos lbanez del Campo ,1 ,0 0 1 O 0 0 ,0 0 0 O ,O ,O ,O ,0 ,0 ,O ,O ,0 ,O ,O ,0 O O 
Region de Magallanes y la Antartica Chilena ,70 ,O O 0 1 0 1 ,42 14 4 2 ,1 ,O ,O ,O ,O ,1 ,1 ,1 ,1 ,1 ,O O O 
Desconocido ,81 ,O O 0 1 9 1 ,1 1 2 4 ,1 ,0 ,0 ,2 ,21 ,0 ,1 ,0 ,O ,O ,1 35 0 
Total pais ,19179 ,0 0 18 27 35 64 ,227 382 602 767 ,1671 ,2489 ,2738 ,1903 ,1701 ,1640 ,1771 ,1175 ,703 ,574 ,402 289 0 
