,,,CasosAcumulados,,,Casos,Tasaincidencia,Tasamortalidad,Tasa
Zona de Chile ,Poblacion ,Confirmados Notificados ,Confirmados No Notificados ,Probables ,Total ,Fallecidos *k* ,acumulada ,acumulada ,Letalidad 
Region de Arica y Parinacota ,252110 ,4572 ,12 ,258 ,4842 ,68 ,1920.6 ,27.0 ,1.4% 
Region de Tarapaca ,382773 ,8580 ,405 ,293 ,9278 ,170 ,2423.9 ,44.4 ,1.8% 
Region de Antofagasta ,691854 ,14961 ,223 ,584 ,15768 ,366 ,2279.1 ,52.9 ,2.3% 
Region de Atacama ,314709 ,3006 ,18 ,25 ,3049 ,13 ,968.8 ,4.1 ,0.4% 
Region de Coquimbo ,836096 ,6497 ,136 ,615 ,7248 ,72 ,866.9 ,8.6 ,1.0% 
Region de Valparaiso ,1960170 ,17644 ,439 ,4959 ,23042 ,541 ,1175.5 ,27.6 ,2.3% 
Region Metropolitana de Santiago ,8125072 ,240822 ,17258 ,28304 ,286384 ,7956 ,3524.7 ,97.9 ,2.8% 
Region del Libertador General Bernardo OHiggins ,991063 ,10776 ,101 ,1772 ,12649 ,253 ,1276.3 ,25.5 ,2.0% 
Region del Maule ,1131939 ,9236 ,42 ,623 ,9901 ,186 ,874.7 ,16.4 ,1.9% 
Region del Nuble ,511551 ,3602 ,1 ,782 ,4385 ,63 ,857.2 ,12.3 ,1.4% 
Region del Biobio ,1663696 ,11635 ,185 ,1122 ,12942 ,122 ,777.9 ,7.3 ,0.9% 
Region de la Araucania ,1014343 ,4206 ,2 ,39 ,4247 ,74 ,418.7 ,7.3 ,1.7% 
Region de Los Rios ,405835 ,913 ,6 ,12 ,931 ,12 ,229.4 ,3.0 ,1.3% 
Region de Los Lagos ,891440 ,4187 ,54 ,241 ,4482 ,43 ,502.8 ,4.8 ,1.0% 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,83 ,0 ,0 ,83 ,O ,77.4 ,0.0 ,0.0% 
Region de Magallanes y la Antartica Chilena ,178362 ,1758 ,71 ,20 ,1849 ,29 ,1036.7 ,16.3 ,1.6% 
Desconocida* ,- ,0 ,62 ,0 ,62 ,O ,,- ,0.0% 
Total ,19458310 ,342478 ,19015 ,39649 ,401142 ,9968 ,,,
