Grupoedad,,Hombre,,,Mujer,,,Total,
,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,2058 ,1.7 ,339.3 ,1903 ,1.7 ,325.9 ,3961 ,1.7 ,332.8 
05 09 anos ,1573 ,1.3 ,240.9 ,1483 ,1.3 ,235.6 ,3056 ,1.3 ,238.3 
10 14 anos ,1851 ,1.5 ,287.5 ,1827 ,1.6 ,294.0 ,3678 ,1.6 ,290.7 
15 19 anos ,3286 ,2.7 ,512.9 ,3718 ,3.3 ,600.2 ,7004 ,3.0 ,555.8 
20 24 anos ,9355 ,7.8 ,1276.2 ,9144 ,8.2 ,1287.6 ,18499 ,8.0 ,1281.8 
25 29 anos ,15283 ,12.7 ,1825.2 ,14731 ,13.2 ,1814.6 ,30014 ,13.0 ,1820.0 
30 34 anos ,15456 ,12.9 ,1907.6 ,13729 ,12.3 ,1746.7 ,29185 ,12.6 ,1828.4 
35 39 anos ,12873 ,10.7 ,1774.7 ,11028 ,9.9 ,1553.5 ,23901 ,10.3 ,1665.3 
40 44 anos ,10562 ,8.8 ,1564.1 ,9132 ,8.2 ,1359.5 ,19694 ,8.5 ,1462.1 
45 49 anos ,10289 ,8.6 ,1630.2 ,9685 ,8.7 ,1512.4 ,19974 ,8.6 ,1570.9 
50 54 anos ,9839 ,8.2 ,1637.0 ,8966 ,8.0 ,1438.3 ,18805 ,8.1 ,1535.8 
55 59 anos ,9217 ,7.7 ,1661.1 ,8106 ,7.3 ,1372.5 ,17323 ,7.5 ,1512.3 
60 64 anos ,6764 ,5.6 ,1436.0 ,5626 ,5.0 ,1085.3 ,12390 ,5.4 ,1252.3 
65 69 anos ,4180 ,3.5 ,1103.1 ,3680 ,3.3 ,844.6 ,7860 ,3.4 ,964.9 
70 74 anos ,2948 ,2.5 ,1116.3 ,2813 ,2.5 ,881.0 ,5761 ,2.5 ,987.5 
75 79 anos ,2022 ,1.7 ,1146.3 ,2122 ,1.9 ,893.9 ,4144 ,1.8 ,1001.5 
80 y mas anos ,2334 ,1.9 ,1187.7 ,3769 ,3.4 ,1075.9 ,6103 ,2.6 ,1116.1 
Total ,119980 ,100 ,1249.0 ,111462 ,100 ,1130.5 ,231352 ,100 ,1189.0 
