,Hospitalizados,,Sin,Hospitalizacion
Comorbilidades ,No ,% ,No ,% 
Hipertension Arterial ,9925 ,33 ,43001 ,11.6 
Diabetes ,6168 ,20.5 ,21163 ,5.7 
Otra ,4103 ,13.6 ,22021 ,6.0 
Obesidad ,2149 ,7.1 ,11036 ,3.0 
Enfermedad Renal Cronica ,1369 ,4.5 ,1919 ,0.5 
Enfermedad Cardiovascular ,1294 ,4.3 ,2645 ,0.7 
Cardiopatia Cronica ,1276 ,4.2 ,2142 ,0.6 
Enfermedad Pulmonar Cronica ,1241 ,4.1 ,2479 ,0.7 
Asma ,983 ,3.3 ,10426 ,2.8 
Enfermedad Neurologica Cronica ,852 ,2.8 ,1349 ,0.4 
nmunocomprometido ,812 ,2.7 ,1726 ,0.5 
Enfermedad Hepatica Cronica ,350 ,1.2 ,323 ,0.1 
