,,,,,,,Numero,deCasos,segun,FechadeInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) 
Cauquenes ,44143 ,8 ,18.1 ,4 ,9.1 ,4 ,9.1 ,0 ,O ,0 ,0 ,2 ,3 ,0 ,3 
Chanco ,9331 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,O ,O ,0 ,O ,0 ,O 
Colbun ,22565 ,6 ,26.6 ,O ,0.0 ,O ,0.0 ,0 ,0 ,O ,O ,2 ,4 ,O ,0 
Constitucion ,50348 ,11 ,21.8 ,5 ,9.9 ,5 ,9.9 ,O ,0 ,O ,0 ,3 ,3 ,3 ,2 
Curepto ,9426 ,3 ,31.8 ,5 ,53.0 ,4 ,42.4 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 
Curico ,163626 ,24 ,14.7 ,12 ,7.3 ,12 ,7.3 ,O ,O ,1 ,4 ,4 ,5 ,9 ,1 
Empedrado ,4206 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,O ,0 ,O ,0 ,O 
Hualane ,10222 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0 ,O ,O ,0 ,O ,0 ,O 
Licanten ,6989 ,1 ,14.3 ,1 ,14.3 ,1 ,14.3 ,0 ,0 ,O ,O ,0 ,1 ,0 ,0 
Linares ,101073 ,15 ,14.8 ,7 ,6.9 ,7 ,6.9 ,0 ,O ,0 ,2 ,5 ,7 ,1 ,O 
Longavi ,32810 ,3 ,9.1 ,1 ,3.0 ,O ,0.0 ,0 ,0 ,O ,1 ,0 ,1 ,1 ,O 
Maule ,60000 ,10 ,16.7 ,5 ,8.3 ,5 ,8.3 ,O ,O ,O ,1 ,1 ,2 ,2 ,4 
Molina ,49800 ,4 ,8.0 ,1 ,2.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,1 ,2 ,0 ,1 
Parral ,44544 ,6 ,13.5 ,2 ,4.5 ,2 ,4.5 ,O ,O ,O ,1 ,3 ,O ,2 ,O 
Pelarco ,9083 ,5 ,55.0 ,5 ,55.0 ,5 ,55.0 ,0 ,0 ,O ,0 ,0 ,O ,3 ,2 
Pelluhue ,8092 ,1 ,12.4 ,O ,0.0 ,O ,0.0 ,0 ,0 ,O ,O ,1 ,0 ,0 ,O 
Pencahue ,8601 ,1 ,11.6 ,1 ,11.6 ,1 ,11.6 ,O ,O ,O ,0 ,0 ,O ,0 ,1 
Rauco ,11248 ,2 ,17.8 ,1 ,8.9 ,1 ,8.9 ,0 ,0 ,O ,O ,1 ,1 ,0 ,O 
Retiro ,21071 ,2 ,9.5 ,2 ,9.5 ,2 ,9.5 ,O ,O ,O ,O ,0 ,O ,0 ,2 
