edad,,Hombre,,,Mujer,,,Total,
Grupo ,N ,% ,Tasa ,No ,% ,Tasa ,"N"" ",% ,Tasa 
00 04 anos ,866 ,2.2 ,142.8 ,772 ,2.2 ,132.2 ,1638 ,2.2 ,137.6 
05 09 anos ,631 ,1.6 ,96.7 ,603 ,1.7 ,95.8 ,1234 ,1.7 ,96.2 
10 14 anos ,714 ,1.8 ,110.9 ,690 ,2.0 ,111.0 ,1404 ,1.9 ,111.0 
15 19 anos ,1133 ,2.9 ,176.9 ,1228 ,3.5 ,198.2 ,2361 ,3.2 ,187.4 
20 24 anos ,2967 ,7.6 ,404.8 ,2821 ,8.1 ,397.2 ,5788 ,7.8 ,401.1 
25 29 anos ,4996 ,12.7 ,596.6 ,4645 ,13.4 ,572.2 ,9641 ,13.0 ,584.6 
30 34 anos ,5229 ,13.3 ,645.4 ,4383 ,12.6 ,557.6 ,9612 ,13.0 ,602.2 
35 39 anos ,4361 ,11.1 ,601.2 ,3551 ,10.2 ,500.2 ,7912 ,10.7 ,551.3 
40 44 anos ,3598 ,9.2 ,532.8 ,2984 ,8.6 ,444.2 ,6582 ,8.9 ,488.6 
45 49 anos ,3405 ,8.7 ,539.5 ,2951 ,8.5 ,460.8 ,6356 ,8.6 ,499.9 
50 54 anos ,3157 ,8.0 ,525.3 ,2619 ,7.5 ,420.1 ,5776 ,7.8 ,471.7 
55 59 anos ,2775 ,7.1 ,500.1 ,2381 ,6.9 ,403.1 ,5156 ,7.0 ,450.1 
60 64 anos ,2079 ,5.3 ,441.4 ,1616 ,4.7 ,311.8 ,3695 ,5.0 ,373.5 
65 69 anos ,1239 ,3.2 ,327.0 ,1087 ,3.1 ,249.5 ,2326 ,3.1 ,285.5 
70 74 anos ,856 ,2.2 ,324.2 ,785 ,2.3 ,245.8 ,1641 ,2.2 ,281.3 
75 79 anos ,589 ,1.5 ,333.9 ,592 ,1.7 ,249.4 ,1181 ,1.6 ,285.4 
80 mas anos ,681 ,1.7 ,346.5 ,1011 ,2.9 ,288.6 ,1692 ,2.3 ,309.4 
Tota ,39276 ,100 ,409.2 ,34719 ,100 ,352.1 ,73995 ,100 ,380.3 
