,,,,,,,,,,Numerode,CasosNuevos,segun,semana,epidemiologica,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) ,SE 17 (19 de abril al 25 de abril) 
Alto del Carmen ,5729 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0 ,0 ,O ,0 ,0 ,O ,0 ,O 
Caldera ,19426 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,O ,0 ,0 ,0 ,0 ,O 
Chanaral ,13164 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,O ,0 ,0 ,0 ,0 ,O 
Copiapo ,171766 ,8 ,4.7 ,0 ,0.0 ,O ,0.0 ,0 ,O ,1 ,O ,2 ,1 ,4 ,0 ,O 
Diego de Almagro ,14358 ,1 ,7.0 ,O ,0.0 ,O ,0.0 ,0 ,O ,0 ,0 ,1 ,0 ,0 ,0 ,O 
Freirina ,7681 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,O ,0 ,O ,0 ,0 ,0 ,0 ,O 
Huasco& ,11264 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,O ,0 ,O ,0 ,0 ,0 ,0 ,O 
Tierra Amarilla& ,14312 ,5 ,34.9 ,0 ,0.0 ,O ,0.0 ,0 ,O ,0 ,O ,0 ,2 ,3 ,0 ,O 
Vallenar8 ,57009 ,7 ,12.3 ,7 ,12.3 ,7 ,12.3 ,0 ,0 ,0 ,O ,0 ,0 ,1 ,4 ,2 
Total ,314709 ,21 ,6.7 ,7 ,2.2 ,7 ,2.2 ,0 ,0 ,1 ,0 ,3 ,3 ,8 ,4 ,2 
