,Numero,de,Casossegun,Fecha,deInicio,de,Sintomas.,,Notificacion,OToma,de,Muestra,,
,SE SE SE SE SE SE ,SE ,SE SE SE ,SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE SE ,SE ,SE 
Comuna ,9 10 11 12 13 14 ,15 ,16 17 18 ,19 ,20 ,21 22 ,23 ,24 ,25 ,26 ,27 ,28 29 ,30 ,31 
Chepica & ,1 O O O O O ,O ,O O O ,1 ,6 ,O 4 ,6 ,22 ,18 ,20 ,16 ,28 18 ,11 ,1 
Chimbarongo ,O O O 2 1 O ,O ,O 1 1 ,5 ,13 ,8 7 ,12 ,18 ,19 ,29 ,22 ,16 17 ,12 ,2 
Codegua ,O O O 1 O O ,O ,O O O ,1 ,3 ,7 10 ,13 ,17 ,21 ,34 ,24 ,27 28 ,12 ,3 
Coinco ,O O O O O O ,O ,O 1 O ,4 ,11 ,8 3 ,5 ,7 ,20 ,9 ,15 ,12 11 ,4 ,1 
Coltauco & ,O O O O O O ,O ,O O O ,15 ,9 ,13 4 ,4 ,9 ,20 ,22 ,17 ,26 30 ,33 ,3 
Donihue ,O O O O O O ,O ,1 1 5 ,12 ,16 ,14 11 ,20 ,32 ,68 ,59 ,56 ,44 35 ,20 ,3 
Graneros ,O O O 1 O O ,O ,O 3 7 ,14 ,21 ,24 25 ,33 ,51 ,65 ,67 ,60 ,47 32 ,9 ,5 
La Estrella ,O O O O O O ,O ,O O O ,O ,O ,O 1 ,4 ,6 ,2 ,12 ,6 ,O 3 ,1 ,O 
Las Cabras ,0 O O O O O ,1 ,2 4 3 ,2 ,4 ,3 5 ,9 ,17 ,29 ,41 ,28 ,29 16 ,7 ,1 
Litueche ,O O O 0 O 0 ,O ,1 5 2 ,2 ,3 ,O 1 ,6 ,15 ,21 ,8 ,6 ,3 1 ,5 ,0 
Lolol ,O O O O O O ,O ,O O O ,1 ,2 ,1 11 ,5 ,7 ,5 ,13 ,1 ,O O ,O ,2 
Machali ,O O 1 4 1 O ,4 ,O 5 5 ,9 ,18 ,24 36 ,56 ,106 ,225 ,196 ,120 ,62 54 ,29 ,10 
Malloa ,O O O 0 O 0 ,O ,O O O ,1 ,3 ,3 4 ,6 ,11 ,15 ,17 ,10 ,14 23 ,17 ,3 
Marchihue ,O O O O O O ,O ,O O O ,O ,O ,2 3 ,O ,5 ,3 ,1 ,4 ,2 5 ,2 ,2 
Mostazal ,O O O O O O ,O ,O O 3 ,4 ,6 ,15 21 ,28 ,23 ,25 ,40 ,31 ,18 14 ,11 ,8 
Nancagua ,O O O O O O ,O ,O O 1 ,2 ,11 ,5 9 ,7 ,12 ,8 ,7 ,13 ,10 5 ,2 ,2 
Navidad ,O O O O O O ,O ,O 3 O ,6 ,2 ,6 1 ,11 ,12 ,9 ,10 ,9 ,3 3 ,O ,0 
Olivar ,O O O O 1 2 ,3 ,1 O O ,7 ,4 ,13 5 ,12 ,16 ,28 ,34 ,36 ,17 8 ,10 ,1 
Palmilla ,O O O O O O ,O ,O 1 O ,O ,2 ,3 1 ,5 ,7 ,4 ,3 ,2 ,8 3 ,3 ,1 
Paredones ,O O O O O O ,O ,O O O ,O ,2 ,2 1 ,3 ,3 ,1 ,O ,3 ,1 4 ,2 ,0 
Peralillo ,O O O O O O ,O ,O O O ,O ,2 ,7 7 ,12 ,11 ,1 ,5 ,4 ,2 2 ,1 ,O 
Peumo ,O O O O 1 O ,O ,O O 2 ,3 ,2 ,2 2 ,1 ,2 ,6 ,6 ,2 ,14 19 ,5 ,O 
Pichidegua ,0 O O O O O ,O ,O O 1 ,3 ,8 ,3 3 ,7 ,9 ,15 ,25 ,30 ,22 15 ,18 ,2 
Pichilemu ,O O O O O O ,O ,O O 2 ,2 ,4 ,7 4 ,2 ,6 ,6 ,4 ,O ,12 4 ,1 ,O 
