,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,4704 ,2.0 ,775.6 ,4313 ,1.9 ,738.7 ,9017 ,2.0 ,757.5 
05 09 anos ,3899 ,1.7 ,597.2 ,3773 ,1.7 ,599.3 ,7672 ,1.7 ,598.3 
10 14 anos ,4430 ,1.9 ,688.0 ,4612 ,2.1 ,742.2 ,9042 ,2.0 ,714.6 
15 19 anos ,7363 ,3.2 ,1149.3 ,8430 ,3.8 ,1360.9 ,15793 ,3.5 ,1253.4 
20 24 anos ,18194 ,7.9 ,2482.1 ,18472 ,8.3 ,2601.1 ,36666 ,8.1 ,2540.6 
25 29 anos ,28383 ,12.2 ,3389.6 ,28136 ,12.7 ,3465.9 ,56519 ,12.5 ,3427.2 
30 34 anos ,28844 ,12.4 ,3560.0 ,26212 ,11.8 ,3334.9 ,55056 ,12.1 ,3449.2 
35 39 anos ,23581 ,10.2 ,3251.0 ,20871 ,9.4 ,2940.0 ,44452 ,9.8 ,3097.2 
40 44 anos ,20005 ,8.6 ,2962.4 ,17720 ,8.0 ,2638.0 ,37725 ,8.3 ,2800.7 
45 49 anos ,19525 ,8.4 ,3093.5 ,18364 ,8.3 ,2867.8 ,37889 ,8.4 ,2979.8 
50 54 anos ,18611 ,8.0 ,3096.5 ,17529 ,7.9 ,2811.9 ,36140 ,8.0 ,2951.6 
55 59 anos ,17511 ,7.6 ,3155.9 ,16070 ,7.2 ,2720.9 ,33581 ,7.4 ,2931.6 
60 64 anos ,13202 ,5.7 ,2802.8 ,11490 ,5.2 ,2216.6 ,24692 ,5.4 ,2495.7 
65 69 anos ,8367 ,3.6 ,2208.1 ,7693 ,3.5 ,1765.7 ,16060 ,3.5 ,1971.5 
70 74 anos ,5976 ,2.6 ,2263.0 ,5756 ,2.6 ,1802.6 ,11732 ,2.6 ,2011.0 
75 79 anos ,4112 ,1.8 ,2331.1 ,4468 ,2.0 ,1882.1 ,8580 ,1.9 ,2073.5 
80 y mas anos ,5030 ,2.2 ,2559.5 ,7789 ,3.5 ,2223.4 ,12819 ,2.8 ,2344.2 
Total ,231737 ,100.0 ,2414.2 ,221698 ,100.0 ,2248.6 ,453435 ,100.0 ,2330.3 
