,,,,,,NumerodeCasos,segunFechade,Iniciode,Sintomas,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE 12 13 14 ,SE SE SE SE SE SE SE SE 15 16 17 18 19 20 21 22 
Aisen ,25002 ,4 ,16.0 ,3 ,12.0 ,3 ,12.0 ,0 0 1 ,0 0 0 ,0 0 0 0 0 0 1 2 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,O ,0.0 ,0 0 0 ,0 0 1 ,0 0 0 0 0 0 0 0 
Cisnes ,5828 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O O ,O O O O O O O O 
Cochrane ,3685 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O 0 O ,O O 0 O O O O O 
Coyhaique ,61210 ,7 ,11.4 ,4 ,6.5 ,4 ,6.5 ,O O 1 ,O O 1 ,O O 0 O 1 O 4 O 
Guaitecas ,1599 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O O ,O O O O 0 O 0 O 
Lago Verde ,920 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O O ,O O O O O O O O 
O'Higgins ,661 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O 0 O ,O O O O 0 O O O 
Rio lbanez ,2699 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O O ,O O O O 0 O 0 O 
Tortel ,572 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O ,O O O ,O 0 O O O O O O 
Total ,107297 ,12 ,11.2 ,7 ,6.5 ,7 ,6.5 ,0 0 2 ,0 0 2 ,0 0 0 0 1 0 5 2 
