,SinHospitalizacion,,Hospitalizados,
Signos / Sintoma ,NO ,% ,No ,% 
Cefalea ,212058 ,59.7 ,8626 ,32.0 
Mialgia ,198351 ,55.8 ,10971 ,40.8 
Tos ,197480 ,55.6 ,16209 ,60.2 
Fiebre ,125961 ,35.5 ,12695 ,47.2 
Odinofagia ,117404 ,33.1 ,4350 ,16.2 
Anosmia* ,66278 ,18.7 ,1404 ,5.2 
Ageusia* ,52557 ,14.8 ,1203 ,4.5 
Disnea ,40249 ,11.3 ,12379 ,46.0 
Diarrea ,36484 ,10.3 ,2327 ,8.6 
Dolor toracico ,32570 ,9.2 ,3122 ,11.6 
Dolor abdominal ,21570 ,6.1 ,1828 ,6.8 
Taquipnea ,3950 ,1.1 ,3792 ,14.1 
Cianosis ,352 ,0.1 ,644 ,2.4 
