,,Numero,de,Casos,segun,Fecha,deInicio,de,Sintomas.,Notificacion,O,Toma,de,Muestra,,,
,SE SE SE ,SE SE SE ,SE ,SE ,SE SE ,SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE 
Comuna ,9 10 11 ,12 13 14 ,15 ,16 ,17 18 ,19 ,20 ,21 22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 
Antofagasta & ,O 1 2 ,27 32 41 ,59 ,110 ,162 216 ,312 ,312 ,305 356 ,502 ,603 ,705 ,794 ,914 ,762 ,561 ,420 ,74 
Calama & ,1 O 2 ,3 3 9 ,18 ,17 ,40 54 ,92 ,236 ,285 445 ,813 ,996 ,925 ,742 ,658 ,452 ,340 ,234 ,44 
Maria Elena ,1 O O ,O O O ,5 ,9 ,16 45 ,42 ,30 ,13 12 ,11 ,7 ,41 ,29 ,27 ,7 ,14 ,7 ,6 
Mejillones & ,O O O ,O 1 8 ,15 ,18 ,30 76 ,45 ,51 ,19 19 ,10 ,17 ,39 ,49 ,25 ,16 ,10 ,14 ,2 
Ollague ,O O O ,O O O ,O ,O ,O O ,O ,O ,O O ,O ,2 ,6 ,1 ,2 ,5 ,5 ,O ,O 
San Pedro de & Atacama ,O O O ,2 1 1 ,O ,O ,1 O ,O ,2 ,4 4 ,18 ,21 ,33 ,35 ,35 ,36 ,44 ,19 ,4 
Sierra Gorda ,O O O ,O O O ,O ,O ,O 3 ,5 ,5 ,3 12 ,6 ,8 ,3 ,4 ,2 ,5 ,6 ,5 ,2 
Taltal ,O O O ,O O 2 ,3 ,2 ,1 1 ,3 ,12 ,6 9 ,7 ,9 ,12 ,7 ,11 ,21 ,16 ,2 ,O 
Tocopilla & ,O O O ,2 O 4 ,5 ,O ,1 2 ,7 ,8 ,8 5 ,6 ,25 ,50 ,61 ,43 ,22 ,19 ,6 ,1 
Desconocido & ,O O O ,O O O ,O ,O ,5 O ,1 ,1 ,O O ,5 ,10 ,41 ,30 ,30 ,26 ,24 ,22 ,20 
Total ,2 1 4 ,34 37 65 ,105 ,156 ,256 397 ,507 ,657 ,643 862 ,1378 ,1698 ,1855 ,1752 ,1747 ,1352 ,1039 ,729 ,153 
