Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Cauquenes ,44143 ,404 ,915.2 ,10 ,22.7 ,19 ,43.0 ,19 ,43.0 
Chanco ,9331 ,48 ,514.4 ,1 ,10.7 ,1 ,10.7 ,1 ,10.7 
Colbun ,& 22565 ,201 ,890.8 ,1 ,4.4 ,25 ,110.8 ,25 ,110.8 
Constitucion ,& 50348 ,366 ,726.9 ,6 ,11.9 ,47 ,93.4 ,47 ,93.4 
Curepto ,9426 ,51 ,541.1 ,3 ,31.8 ,7 ,74.3 ,7 ,74.3 
Curico ,& 163626 ,2116 ,1293.2 ,40 ,24.4 ,173 ,105.7 ,170 ,103.9 
Empedrado ,4206 ,32 ,760.8 ,0 ,0.0 ,2 ,47.6 ,2 ,47.6 
Hualane ,10222 ,115 ,1125.0 ,2 ,19.6 ,O ,0.0 ,O ,0.0 
Licanten ,6989 ,25 ,357.7 ,3 ,42.9 ,3 ,42.9 ,3 ,42.9 
Linares ,101073 ,736 ,728.2 ,16 ,15.8 ,95 ,94.0 ,95 ,94.0 
Longavi ,32810 ,269 ,819.9 ,2 ,6.1 ,14 ,42.7 ,14 ,42.7 
Maule ,60000 ,450 ,750.0 ,4 ,6.7 ,53 ,88.3 ,53 ,88.3 
Molina ,49800 ,276 ,554.2 ,12 ,24.1 ,25 ,50.2 ,25 ,50.2 
Parra ,44544 ,277 ,621.9 ,3 ,6.7 ,14 ,31.4 ,14 ,31.4 
Pelarco ,& 9083 ,126 ,1387.2 ,2 ,22.0 ,40 ,440.4 ,40 ,440.4 
Pelluhue ,8092 ,69 ,852.7 ,2 ,24.7 ,5 ,61.8 ,5 ,61.8 
Pencahue ,8601 ,57 ,662.7 ,0 ,0.0 ,3 ,34.9 ,3 ,34.9 
Rauco ,11248 ,109 ,969.1 ,1 ,8.9 ,13 ,115.6 ,13 ,115.6 
Retiro ,21071 ,147 ,697.6 ,0 ,0.0 ,12 ,57.0 ,12 ,57.0 
Rio Claro ,14753 ,100 ,677.8 ,6 ,40.7 ,17 ,115.2 ,17 ,115.2 
Romeral ,16170 ,265 ,1638.8 ,4 ,24.7 ,23 ,142.2 ,23 ,142.2 
