edad,,Hombre,,,Mujer,,,Total,
Grupo ,No ,% ,Tasa ,No ,% ,Tasa ,N ,% ,Tasa 
00 04 anos ,46 ,1.1 ,7.6 ,46 ,1.1 ,7.9 ,92 ,1.1 ,7.7 
05 09 anos ,32 ,0.8 ,4.9 ,40 ,1.0 ,6.4 ,72 ,0.9 ,5.6 
10 14 anos ,57 ,1.4 ,8.9 ,50 ,1.2 ,8.0 ,107 ,1.3 ,8.5 
15 19 anos ,86 ,2.1 ,13.4 ,121 ,2.9 ,19.5 ,207 ,2.5 ,16.4 
20 24 anos ,290 ,7.1 ,39.6 ,284 ,6.9 ,40.0 ,574 ,7.0 ,39.8 
25 29 anos ,486 ,11.9 ,58.0 ,518 ,12.6 ,63.8 ,1004 ,12.2 ,60.9 
30 34 anos ,526 ,12.8 ,64.9 ,550 ,13.4 ,70.0 ,1076 ,13.1 ,67.4 
35 39 anos ,461 ,11.2 ,63.6 ,459 ,11.1 ,64.7 ,920 ,11.2 ,64.1 
40 44 anos ,415 ,10.1 ,61.5 ,414 ,10.1 ,61.6 ,829 ,10.1 ,61.5 
45 49 anos ,386 ,9.4 ,61.2 ,367 ,8.9 ,57.3 ,753 ,9.2 ,59.2 
50 54 anos ,337 ,8.2 ,56.1 ,336 ,8.2 ,53.9 ,673 ,8.2 ,55.0 
55 59 anos ,295 ,7.2 ,53.2 ,283 ,6.9 ,47.9 ,578 ,7.0 ,50.5 
60 64 anos ,224 ,5.5 ,47.6 ,211 ,5.1 ,40.7 ,435 ,5.3 ,44.0 
65 69 anos ,151 ,3.7 ,39.8 ,140 ,3.4 ,32.1 ,291 ,3.5 ,35.7 
70 74 anos ,127 ,3.1 ,48.1 ,110 ,2.7 ,34.4 ,237 ,2.9 ,40.6 
75 79 anos ,88 ,2.1 ,49.9 ,71 ,1.7 ,29.9 ,159 ,1.9 ,38.4 
80 y mas anos ,92 ,2.2 ,46.8 ,117 ,2.8 ,33.4 ,209 ,2.5 ,38.2 
Total ,4099 ,100 ,42.7 ,4117 ,100 ,41.8 ,8216 ,100 ,42.2 
