,Sin,Hospitalizacion,Hospitalizados,
Comorbilidades ,No ,% ,No ,% 
Hipertension arterial ,30754 ,11.7 ,6260 ,31.8 
Diabetes ,13419 ,5.1 ,3930 ,19.9 
Obesidad ,7336 ,2.8 ,1375 ,7.0 
Asma ,6714 ,2.6 ,625 ,3.2 
Enfermedad cardiovascular ,1832 ,0.7 ,829 ,4.2 
Enfermedad pulmonar cronica ,1562 ,0.6 ,846 ,4.3 
Cardiopatia cronica ,1377 ,0.5 ,858 ,4.4 
Enfermedad renal cronica ,1247 ,0.5 ,829 ,4.2 
Enfermedad neurologica cronica ,878 ,0.3 ,578 ,2.9 
Inmunocomprometido ,185 ,0.1 ,184 ,0.9 
Enfermedad hepatica cronica ,207 ,0.1 ,215 ,1.1 
