,SinHospitalizacion,,Hospitalizados,
Signos / Sintoma ,No ,% ,No ,% 
Cefalea ,165852 ,61.0 ,6597 ,32.4 
Tos ,157279 ,57.9 ,12411 ,61.0 
Mialgia ,157108 ,57.8 ,8424 ,41.4 
Fiebre ,103604 ,38.1 ,9997 ,49.2 
Odinofagia ,92404 ,34.0 ,3438 ,16.9 
Anosmia ,50159 ,18.5 ,1013 ,5.0 
Ageusia ,39509 ,14.5 ,846 ,4.2 
Disnea ,31978 ,11.8 ,9321 ,45.8 
Diarrea ,27708 ,10.2 ,1694 ,8.3 
Dolor toracico ,25530 ,9.4 ,2283 ,11.2 
Dolor abdominal ,16406 ,6.0 ,1317 ,6.5 
Taquipnea ,3155 ,1.2 ,2895 ,14.2 
Cianosis ,304 ,0.1 ,475 ,2.3 
