,,,,,,Numero,deCasos,segunFecha,de,IniciodeSintomas,,,,,
Comuna ,Poblacion ,Numero de Casos ,Tasa incidencia ,Numero de Casos ,Tasa de Incidencia ,Numero de Casos ,Tasa de Incidencia ,SE SE SE ,SE ,SE SE SE SE ,,SE SE ,SE SE ,SE ,SE SE 
,,Confirmados ,acumulada ,Actuales ,Actual ,Activos ,Activos ,9 10 11 ,12 ,13 14 15 16 ,,17 18 ,19 20 ,21 ,22 23 
Alto Biobio ,6775 ,98 ,1446.5 ,66 ,974.2 ,66 ,974.2 ,0 O O ,0 ,0 O 0 0 ,,0 O ,0 7 ,39 ,48 4 
Antuco ,4306 ,18 ,418.0 ,13 ,301.9 ,13 ,301.9 ,O O O ,O ,0 O O O ,,O O ,2 2 ,1 ,13 O 
Arauco ,38679 ,68 ,175.8 ,26 ,67.2 ,26 ,67.2 ,O 0 1 ,2 ,2 1 O O ,,0 5 ,4 13 ,16 ,23 1 
Cabrero ,30725 ,30 ,97.6 ,4 ,13.0 ,4 ,13.0 ,O O O ,1 ,0 4 3 7 ,,1 3 ,4 2 ,2 ,3 O 
Canete ,37003 ,15 ,40.5 ,5 ,13.5 ,5 ,13.5 ,O O O ,0 ,0 O O O ,,O O ,O 1 ,9 ,4 1 
Chiguayante ,91180 ,119 ,130.5 ,26 ,28.5 ,26 ,28.5 ,O O 5 ,5 ,9 16 11 10 ,,11 8 ,6 7 ,7 ,22 2 
Concepcion ,238092 ,355 ,149.1 ,106 ,44.5 ,105 ,44.1 ,1 1 6 ,28 ,28 22 21 18 ,,14 19 ,18 19 ,82 ,72 6 
Contulmo ,6330 ,1 ,15.8 ,1 ,15.8 ,1 ,15.8 ,O O O ,0 ,0 O O O ,,0 O ,O O ,O ,1 O 
Coronel ,125829 ,196 ,155.8 ,115 ,91.4 ,114 ,90.6 ,O O 1 ,6 ,6 4 1 O ,,5 2 ,14 14 ,48 ,90 5 
Curanilahue ,33892 ,8 ,23.6 ,3 ,8.9 ,3 ,8.9 ,0 O 0 ,1 ,0 0 0 O ,,0 1 ,3 0 ,2 ,1 0 
Florida ,11841 ,5 ,42.2 ,1 ,8.4 ,1 ,8.4 ,O O O ,0 ,2 1 O O ,,0 0 ,1 O ,1 ,O O 
Hualpen ,97273 ,175 ,179.9 ,26 ,26.7 ,26 ,26.7 ,O O 3 ,24 ,33 27 17 8 ,,2 5 ,11 9 ,12 ,22 2 
Hualqui ,26201 ,46 ,175.6 ,11 ,42.0 ,11 ,42.0 ,O 0 1 ,1 ,2 3 4 9 ,,0 1 ,2 4 ,11 ,7 1 
Laja ,23873 ,67 ,280.7 ,11 ,46.1 ,11 ,46.1 ,O 1 1 ,0 ,3 1 1 1 ,,5 1 ,17 20 ,8 ,7 1 
Lebu ,27100 ,3 ,11.1 ,1 ,3.7 ,1 ,3.7 ,O O O ,O ,0 O O O ,,O 1 ,1 O ,O ,1 O 
Los Alamos ,22524 ,3 ,13.3 ,1 ,4.4 ,1 ,4.4 ,O O ,0 ,0 O 1 O ,,0 O ,O 1 ,O ,1 O 
Los Angeles& ,218515 ,295 ,135.0 ,99 ,45.3 ,99 ,45.3 ,0 0 4 ,7 ,9 6 5 4 ,,0 3 ,32 62 ,86 ,60 17 
Lota ,45750 ,61 ,133.3 ,25 ,54.6 ,25 ,54.6 ,0 0 O ,1 ,0 0 O O ,,0 1 ,16 9 ,14 ,17 3 
Mulchen ,31041 ,22 ,70.9 ,10 ,32.2 ,10 ,32.2 ,O O O ,1 ,4 O 0 0 ,,0 2 ,3 1 ,1 ,9 1 
Nacimiento ,27944 ,38 ,136.0 ,6 ,21.5 ,6 ,21.5 ,O O O ,2 ,3 3 2 O ,,1 3 ,8 4 ,7 ,4 1 
