,,,,,,Numerode,Casossegun,FechadeInicio,deSintomas,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE SE SE SE SE 15 16 17 18 19 20 
Andacollo ,11791 ,3 ,25.4 ,2 ,17.0 ,2 ,17.0 ,0 0 0 0 ,0 0 ,0 0 0 2 1 0 
Canela ,9546 ,1 ,10.5 ,1 ,10.5 ,1 ,10.5 ,0 0 0 0 ,0 0 ,0 0 0 1 0 0 
Combarbala ,13884 ,2 ,14.4 ,2 ,14.4 ,2 ,14.4 ,0 0 0 0 ,0 0 ,0 0 0 2 0 0 
Coquimbo ,256735 ,38 ,14.8 ,11 ,4.3 ,11 ,4.3 ,0 0 4 13 ,3 1 ,0 3 3 8 3 0 
Illapel ,32801 ,19 ,57.9 ,1 ,3.0 ,1 ,3.0 ,0 0 0 0 ,4 7 ,7 0 0 1 0 0 
La Higuera ,4450 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,0 0 0 0 0 0 
La Serena& ,249656 ,40 ,16.0 ,18 ,7.2 ,17 ,6.8 ,0 0 1 3 ,6 4 ,2 2 4 10 8 0 
Los Vilos ,23374 ,1 ,4.3 ,0 ,0.0 ,0 ,0.0 ,0 0 0 1 ,0 0 ,0 0 0 0 0 0 
Monte Patria ,32527 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,0 0 0 0 0 0 
Ovalle ,121269 ,24 ,19.8 ,13 ,10.7 ,13 ,10.7 ,0 0 2 2 ,4 1 ,0 1 1 5 8 0 
Paiguano ,4675 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,0 0 0 0 0 0 
Punitaqui ,12165 ,8 ,65.8 ,6 ,49.3 ,6 ,49.3 ,0 0 0 0 ,0 0 ,0 1 1 3 3 0 
Rio Hurtado ,4372 ,1 ,22.9 ,0 ,0.0 ,0 ,0.0 ,0 0 0 1 ,0 0 ,0 0 0 0 0 0 
Salamanca ,29110 ,10 ,34.4 ,3 ,10.3 ,3 ,10.3 ,0 0 0 1 ,2 1 ,2 1 0 3 0 0 
Vicuna ,29741 ,2 ,6.7 ,1 ,3.4 ,1 ,3.4 ,0 0 0 0 ,0 0 ,0 0 1 0 1 0 
Total ,836096 ,149 ,17.8 ,58 ,6.9 ,57 ,6.8 ,0 0 7 21 ,19 14 ,11 8 10 35 24 0 
