,,,,,,,,,,Numero,deCasos,Nuevos,segunsemana,,epidemiologica,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 8 (16 al 22 de febrero) ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 16 SE 15 (12 (5 de de abril abri al 11 al 18 de de abril) abril) ,SE 17 (19 de abril al 25 de abril) 
Antofagasta ,425725 ,261 ,61.3 ,128 ,30.1 ,121 ,28.4 ,0 ,0 ,1 ,2 ,27 ,31 ,34 ,53 83 ,30 
Calama& ,190336 ,35 ,18.4 ,10 ,5.3 ,9 ,4.7 ,1 ,1 ,0 ,2 ,3 ,1 ,7 ,11 7 ,2 
Maria Elena ,6814 ,7 ,102.7 ,7 ,102.7 ,7 ,102.7 ,O ,0 ,O ,O ,0 ,0 ,0 ,4 2 ,1 
Mejillones8 ,14776 ,43 ,291.0 ,30 ,203.0 ,30 ,203.0 ,0 ,O ,0 ,0 ,0 ,1 ,8 ,13 17 ,4 
Ollague ,287 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,0 ,0 ,O ,O ,0 0 ,0 
San Pedro de Atacama ,10434 ,4 ,38.3 ,0 ,0.0 ,O ,0.0 ,0 ,O ,O ,O ,2 ,1 ,1 ,0 0 ,O 
Sierra Gorda ,1746 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,O ,0 ,O ,0 O ,O 
Taltal ,13657 ,7 ,51.3 ,4 ,29.3 ,4 ,29.3 ,0 ,O ,O ,0 ,0 ,0 ,2 ,3 2 ,0 
Tocopilla ,28079 ,11 ,39.2 ,1 ,3.6 ,1 ,3.6 ,0 ,O ,0 ,0 ,2 ,0 ,4 ,5 0 ,0 
Total ,691854 ,368 ,53.2 ,180 ,26.0 ,172 ,24.9 ,1 ,1 ,1 ,4 ,34 ,34 ,56 ,89 111 ,37 
