Region,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos,SE9(23al29defebrero),SE10(1al7demarzo),SE11(8al14demarzo),SE12(15al21demarzo),SE13(22al28demarzo),SE14(29demarzoal4deabril),SE15(4deabrilal11deabril)
Antofagasta ,425725 ,106 ,24.9 ,50 ,11.7 ,49 ,11.5 ,0 ,1 ,2 ,25 ,28 ,27 ,23 
Calama ,190336 ,20 ,10.5 ,12 ,6.3 ,12 ,6.3 ,1 ,O ,2 ,3 ,2 ,6 ,6 
Maria Elena ,6814 ,1 ,14.7 ,1 ,14.7 ,1 ,14.7 ,0 ,O ,O ,O ,O ,0 ,1 
Mejillones ,14776 ,12 ,81.2 ,11 ,74.4 ,11 ,74.4 ,0 ,O ,O ,O ,1 ,7 ,4 
Ollague ,287 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,O ,O ,O ,0O ,0 ,O 
San Pedro de Atacama ,10434 ,4 ,38.3 ,1 ,9.6 ,1 ,9.6 ,0 ,O ,O ,2 ,1 ,1 ,0 
Sierra Gorda ,1746 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0 ,O ,O ,O ,0 ,0 
Taltal ,13657 ,3 ,22.0 ,3 ,22.0 ,3 ,22.0 ,0 ,O ,O ,O ,0 ,2 ,1 
Tocopilla ,28079 ,3 ,10.7 ,1 ,3.6 ,1 ,3.6 ,O ,O ,O ,2 ,O ,0 ,1 
Total ,691854 ,149 ,21.5 ,79 ,11.4 ,78 ,11.3 ,1 ,1 ,4 ,32 ,32 ,43 ,36 
