Region,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos,SE9(23al29defebrero),SE10(1al7demarzo),SE11(8al14demarzo),SE12(15al21demarzo),SE13(22al28demarzo),SE14(29demarzoal4deabril),SE15(4deabrilal11deabril)
Alto Biobio ,6775 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,O ,0 ,O ,O 
Antuco ,4306 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,O ,0 ,O ,O 
Arauco ,38679 ,6 ,15.5 ,2 ,5.2 ,2 ,5.2 ,O ,O ,1 ,1 ,2 ,2 ,O 
Cabrero ,30725 ,7 ,22.8 ,7 ,22.8 ,7 ,22.8 ,0 ,0 ,O ,0 ,O ,4 ,3 
Canete ,37003 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,O ,0 ,0 ,0 
Chiguayante ,91180 ,41 ,45.0 ,27 ,29.6 ,27 ,29.6 ,0 ,0 ,3 ,6 ,5 ,14 ,13 
Concepcion ,238092 ,92 ,38.6 ,23 ,9.7 ,22 ,9.2 ,O ,O ,7 ,30 ,32 ,23 ,0 
Contulmo ,6330 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,O ,O ,0 ,O 
Coronel ,125829 ,18 ,14.3 ,9 ,7.2 ,9 ,7.2 ,0 ,0 ,O ,3 ,6 ,8 ,1 
Curanilahue ,33892 ,1 ,3.0 ,O ,0.0 ,0 ,0.0 ,O ,O ,O ,1 ,0 ,O ,O 
Florida ,11841 ,2 ,16.9 ,O ,0.0 ,0 ,0.0 ,0 ,0 ,O ,O ,2 ,O ,O 
Hualpen ,97273 ,93 ,95.6 ,68 ,69.9 ,67 ,68.9 ,0 ,0 ,O ,5 ,20 ,39 ,29 
Hualqui ,26201 ,8 ,30.5 ,4 ,15.3 ,4 ,15.3 ,0 ,0 ,1 ,1 ,2 ,1 ,3 
Laja ,23873 ,6 ,25.1 ,O ,0.0 ,0 ,0.0 ,0 ,1 ,1 ,O ,4 ,O ,O 
Lebu ,27100 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,O ,0 ,0 ,0 
Los Alamos ,22524 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Los Angeles ,218515 ,22 ,10.1 ,4 ,1.8 ,4 ,1.8 ,0 ,0 ,2 ,4 ,12 ,4 ,O 
Lota ,45750 ,1 ,2.2 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,1 ,0 ,0 ,0 
Mulchen ,31041 ,5 ,16.1 ,O ,0.0 ,O ,0.0 ,0 ,0 ,O ,1 ,4 ,O ,O 
Nacimiento ,27944 ,9 ,32.2 ,4 ,14.3 ,4 ,14.3 ,0 ,0 ,O ,2 ,3 ,3 ,1 
