,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actua ,Casos Activos ,Incidencia Activos ,9 10 11 12 ,13 14 ,15 
Antartica ,137 ,0 ,0.0 ,0 ,0.0 ,,,,,
Cabo de Hornos ,1983 ,21 ,1059.0 ,O ,0.0 ,0 ,0.0 ,O O 2 7 ,7 1 ,2 
Laguna Blanca ,264 ,1 ,378.8 ,O ,0.0 ,,,,,
Natales ,23782 ,12 ,50.5 ,2 ,8.4 ,2 ,8.4 ,O 0 1 3 ,2 0 ,2 
Porvenir ,7323 ,9 ,122.9 ,O ,0.0 ,,,,,
Primavera ,694 ,1 ,144.1 ,O ,0.0 ,,,,,
Punta Arenas ,141984 ,945 ,665.6 ,64 ,45.1 ,64 ,45.1 ,2 1 6 62 ,121 148 ,154 
Rio Verde ,211 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O 0 O ,O O ,O 
San Gregorio ,681 ,3 ,440.5 ,2 ,293.7 ,,,,,
Timauke ,282 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O 0 0 0 ,0 O ,O 
Torres del Paine ,1021 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O 0 0 0 ,O O ,O 
Total ,178362 ,992 ,556.2 ,68 ,38.1 ,68 ,38.1 ,2 1 9 72 ,133 150 ,161 
