,Hospitalizados,,Sin,Hospitalizacion
Signos / Sintoma ,NO ,% ,No ,% 
Tos ,21347 ,61.5 ,206025 ,54.1 
Fiebre ,16245 ,46.8 ,130095 ,34.2 
Mialgia ,15136 ,43.6 ,207828 ,54.6 
Disnea ,14834 ,42.8 ,40736 ,10.7 
Cefalea ,12185 ,35.1 ,224474 ,59.0 
Odinofagia ,6128 ,17.7 ,124690 ,32.8 
Taquipnea ,4383 ,12.6 ,3788 ,1.0 
Dolor toracico ,4056 ,11.7 ,33700 ,8.9 
Otros ,3980 ,11.5 ,37522 ,9.9 
Diarrea ,3097 ,8.9 ,38822 ,10.2 
Dolor abdominal ,2399 ,6.9 ,22961 ,6.0 
Anosmia ,2062 ,5.9 ,70556 ,18.5 
Ageusia ,1788 ,5.2 ,55913 ,14.7 
Postracion ,771 ,2.2 ,1874 ,0.5 
Cianosis ,715 ,2.1 ,327 ,0.1 
