,,,,,,,,NumerodeCasos,segunFecha,deIniciodeSintomas.NotificacionOTomadeMuestra,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 ,SE 21 ,SE SE SE SE 22 23 24 25 
Chepica ,15925 ,37 ,232.3 ,O ,0.0 ,20 ,125.6 ,20 ,125.6 ,1 O 0 O 0 0 0 O 0 O 1 7 ,O ,4 6 15 3 
Chimbarongo8 ,37696 ,57 ,151.2 ,1 ,2.7 ,10 ,26.5 ,10 ,26.5 ,0 O 0 2 1 0 0 0 O 1 5 13 ,8 ,7 13 6 1 
Codegua& ,14096 ,39 ,276.7 ,1 ,7.1 ,10 ,70.9 ,10 ,70.9 ,0 O 0 1 0 0 0 0 0 0 1 3 ,7 ,10 9 7 1 
Coinco ,7831 ,36 ,459.7 ,1 ,12.8 ,6 ,76.6 ,6 ,76.6 ,0 O 0 0 0 0 0 0 1 0 4 10 ,8 ,2 5 4 2 
Coltauco& ,21263 ,51 ,239.9 ,2 ,9.4 ,9 ,42.3 ,9 ,42.3 ,0 O O 0 O O O O O O 15 9 ,13 ,3 4 7 O 
Donihue8 ,22700 ,93 ,409.7 ,2 ,8.8 ,27 ,118.9 ,27 ,118.9 ,0 0 0 0 0 0 0 1 1 5 9 15 ,14 ,9 15 14 10 
Graneros8 ,36504 ,153 ,419.1 ,1 ,2.7 ,44 ,120.5 ,44 ,120.5 ,0 0 0 0 0 0 0 0 3 7 13 21 ,24 ,21 26 29 9 
La Estrella ,3114 ,11 ,353.2 ,O ,0.0 ,7 ,224.8 ,7 ,224.8 ,0 0 0 0 0 0 0 0 0 0 0 0 ,0 ,1 4 6 O 
Las Cabras& ,26749 ,40 ,149.5 ,O ,0.0 ,10 ,37.4 ,10 ,37.4 ,0 0 0 0 0 0 1 2 4 3 2 4 ,3 ,5 7 6 3 
Litueche& ,6765 ,36 ,532.2 ,1 ,14.8 ,18 ,266.1 ,18 ,266.1 ,0 0 0 0 0 0 0 1 5 2 2 2 ,O ,1 6 12 5 
Lolol& ,7289 ,24 ,329.3 ,O ,0.0 ,8 ,109.8 ,8 ,109.8 ,0 0 0 0 0 0 0 0 0 0 1 2 ,1 ,10 4 6 O 
Machali& ,59913 ,218 ,363.9 ,3 ,5.0 ,91 ,151.9 ,91 ,151.9 ,0 0 1 4 1 0 4 O 5 4 9 18 ,23 ,29 46 59 15 
Malloa ,14163 ,23 ,162.4 ,0 ,0.0 ,14 ,98.8 ,14 ,98.8 ,O 0 0 0 0 0 0 0 0 0 1 3 ,1 ,4 5 8 1 
Marchihue ,7632 ,12 ,157.2 ,O ,0.0 ,8 ,104.8 ,8 ,104.8 ,0 O 0 0 O 0 0 0 0 O 0 0 ,1 ,3 0 8 O 
Mostazal& ,27462 ,88 ,320.4 ,3 ,10.9 ,25 ,91.0 ,25 ,91.0 ,0 0 0 0 0 0 O O 0 3 4 6 ,15 ,21 25 12 2 
Nancagua ,19141 ,49 ,256.0 ,0 ,0.0 ,18 ,94.0 ,18 ,94.0 ,0 O 0 0 0 0 0 0 0 1 1 11 ,5 ,9 7 10 5 
Navidad ,6904 ,42 ,608.3 ,0 ,0.0 ,17 ,246.2 ,17 ,246.2 ,0 0 0 0 0 0 0 0 3 0 6 2 ,6 ,1 11 12 1 
Olivar& ,14624 ,60 ,410.3 ,1 ,6.8 ,18 ,123.1 ,18 ,123.1 ,0 0 0 0 1 2 2 1 0 O 8 4 ,12 ,5 11 10 4 
Palmilla& ,13299 ,15 ,112.8 ,1 ,7.5 ,5 ,37.6 ,5 ,37.6 ,0 0 0 0 0 0 0 0 0 0 0 2 ,3 ,1 5 4 O 
