,,,,,,,,NumerodeCasos,segunFecha,deIniciode,Sintomas.,Notificacion,O,Tomade,Muestra
,,Numero de ,Tasa ,Numero ,Tasa de ,Numero ,Tasa de ,Numero ,Tasa de ,SE SE SE ,SE SE ,SE SE ,SE ,SE SE ,SE SE SE SE SE SE 
Comuna ,Poblacion ,Casos Confirmados ,incidencia acumulada ,de Fallecidos ,Mortalidad ,de Casos Actuales ,Incidencia Actual ,de Casos Activos ,Incidencia Activos ,9 10 11 ,12 13 ,14 15 ,16 ,17 18 ,19 20 21 22 23 24 
Antartica ,137 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O 0 ,0 O ,O O ,O ,0 O ,O 0 O 0 O O 
Cabo de Hornos ,1983 ,21 ,1059.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 2 ,6 4 ,1 6 ,O ,O O ,1 O 1 0 0 O 
Laguna Blanca ,264 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 ,O O ,0 0 ,O ,O O ,O 0 O 0 0 O 
Natales ,23782 ,15 ,63.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 1 ,3 2 ,0 1 ,1 ,O 2 ,0 3 2 0 O O 
Porvenir ,7323 ,10 ,136.6 ,O ,0.0 ,1 ,13.7 ,1 ,13.7 ,0 0 0 ,0 3 ,1 2 ,2 ,0 O ,1 0 0 0 1 0 
Primavera ,694 ,2 ,288.2 ,O ,0.0 ,1 ,144.1 ,1 ,144.1 ,0 0 O ,O O ,O 1 ,O ,O O ,O O 0 O 1 O 
Punta Arenas8 ,141984 ,1203 ,847.3 ,16 ,11.3 ,145 ,102.1 ,145 ,102.1 ,O 2 5 ,66 121 ,146 154 ,132 ,85 108 ,82 51 50 24 48 88 
Rio Verde ,211 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 ,0 O ,O O ,0 ,0 O ,O 0 0 0 0 O 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O 0 ,O O ,O O ,O ,O O ,2 O 0 0 O O 
Timaukel ,282 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O ,O O ,0 O ,O ,O O ,O 0 0 O 0 O 
Torres de Paine ,1021 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 O ,O 0 ,0 0 ,0 ,0 O ,O 0 0 0 0 O 
Desconocido ,- ,69 ,- ,O ,- ,1 ,- ,1 ,- ,0 O 0 ,O 0 ,1 42 ,15 ,5 1 ,3 0 1 0 0 1 
Total ,178362 ,1322 ,741.2 ,16 ,9.0 ,148 ,83.0 ,148 ,83.0 ,0 2 8 ,75 130 ,149 206 ,150 ,90 111 ,89 54 54 24 50 89 
