Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Aisen ,25002 ,55 ,220.0 ,O ,0.0 ,9 ,36.0 ,9 ,36.0 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
Cisnes ,5828 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Cochrane ,3685 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Coyhaique ,61210 ,37 ,60.4 ,O ,0.0 ,1 ,1.6 ,1 ,1.6 
Guaitecas ,1599 ,1 ,62.5 ,O ,0.0 ,1 ,62.5 ,1 ,62.5 
Lago Verde ,920 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
O'Higgins ,661 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Rio ibanez ,2699 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Tortel ,572 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Desconocido ,- ,1 ,- ,O ,- ,0 ,- ,0 ,- 
Total ,107297 ,95 ,88.5 ,0 ,0.0 ,11 ,10.3 ,11 ,10.3 
