,,Numero,deCasos,segunFecha,deIniciodeSintomas
SEREMI de Notificacion ,Residencia ,SE SE SE ,SE SE SE ,SE ,SE SE SE SE SE SE SE 
,Desconocida ,9 10 11 ,12 13 14 ,15 ,16 17 18 19 20 21 22 
SEREM De Arica y Parinacota ,O ,0 0 0 ,0 0 0 ,O ,0 0 O O 0 0 0 
SEREM De Tarapaca ,O ,0 0 0 ,0 0 0 ,0 ,0 0 O 0 0 0 0 
SEREM De Antofagasta ,0 ,0 0 0 ,0 O 0 ,0 ,0 0 0 O 0 0 0 
SEREM De Atacama ,O ,O 0 0 ,0 0 O ,0 ,0 0 O O 0 0 0 
SEREMI De Coquimbo ,O ,0 0 0 ,0 0 0 ,0 ,0 0 0 0 0 0 0 
SEREM De Valparaiso ,1 ,O 0 O ,0 1 0 ,0 ,0 0 O 0 0 0 0 
SEREM Metropolitana de Santiago ,9 ,0 0 1 ,0 O 0 ,0 ,1 1 2 2 1 1 0 
SEREM Del Libertador Gral B OHiggins ,O ,O 0 0 ,0 O 0 ,O ,0 0 0 0 0 0 0 
SEREMI Del Maule ,O ,O 0 0 ,0 0 0 ,O ,0 0 O 0 O 0 0 
SEREMI Del Nuble ,0 ,O 0 0 ,0 0 0 ,O ,0 0 0 O 0 0 0 
SEREM Del Biobio ,O ,O 0 0 ,0 0 0 ,O ,0 0 0 0 0 0 0 
SEREMI De La Araucania ,O ,0 0 0 ,0 0 0 ,0 ,0 0 0 0 0 0 0 
SEREM De Los Rios ,0 ,0 0 0 ,0 O 0 ,O ,0 0 0 0 0 0 0 
SEREMI De Los Lagos ,21 ,0 0 9 ,10 1 1 ,0 ,0 0 0 0 0 0 0 
SEREM De Aisen del General Carlos lbanez del Campo ,1 ,0 0 1 ,0 O 0 ,O ,0 0 0 O 0 0 0 
SEREMI De Magallanes y la Antartica Chilena ,O ,O 0 0 ,0 O O ,O ,0 O 0 O O 0 0 
Total pais ,32 ,0 0 11 ,10 2 1 ,0 ,1 1 2 2 1 1 0 
