,,,,,,,,Numerode,Casos,segunFecha,deInicio,deSintomas,(segun,semana,,epidemiologica),
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,9 10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 
Bulnes & ,22607 ,72 ,318.5 ,11 ,48.7 ,11 ,48.7 ,0 0 ,0 ,10 ,27 ,10 ,7 ,7 ,5 ,6 ,0 
Chillan ,198624 ,415 ,208.9 ,18 ,9.1 ,18 ,9.1 ,O 1 ,28 ,115 ,117 ,74 ,33 ,24 ,16 ,7 ,O 
Chillan Viejo ,33827 ,55 ,162.6 ,O ,0.0 ,O ,0.0 ,O O ,5 ,6 ,20 ,7 ,13 ,3 ,1 ,O ,O 
Cobquecura ,5275 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O ,0 ,0 ,O ,O ,O ,O ,O ,0 ,O 
Coelemu ,16845 ,4 ,23.7 ,0 ,0.0 ,O ,0.0 ,O O ,0 ,O ,2 ,2 ,O ,O ,O ,O ,O 
Coihueco ,28375 ,42 ,148.0 ,11 ,38.8 ,10 ,35.2 ,O 0 ,0 ,3 ,3 ,4 ,6 ,12 ,12 ,2 ,O 
EI Carmen ,12334 ,3 ,24.3 ,0 ,0.0 ,O ,0.0 ,O O ,O ,2 ,O ,1 ,0 ,O ,O ,0 ,O 
Ninhue ,5414 ,4 ,73.9 ,O ,0.0 ,O ,0.0 ,O O ,O ,O ,O ,2 ,O ,2 ,O ,O ,O 
Niquen ,11567 ,3 ,25.9 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 ,O ,O ,1 ,2 ,O ,O ,O ,0 
Pemuco ,8639 ,6 ,69.5 ,0 ,0.0 ,0 ,0.0 ,0 O ,0 ,1 ,0 ,4 ,1 ,O ,0 ,O ,0 
Pinto ,11880 ,12 ,101.0 ,0 ,0.0 ,O ,0.0 ,0 O ,0 ,2 ,3 ,5 ,1 ,1 ,O ,0 ,O 
Portezuelo ,4940 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O ,0 ,O ,O ,O ,O ,O ,O ,O ,0 
Quillon ,18777 ,32 ,170.4 ,4 ,21.3 ,4 ,21.3 ,O 0 ,1 ,8 ,9 ,8 ,1 ,O ,3 ,2 ,0 
Quirihue ,12192 ,4 ,32.8 ,O ,0.0 ,O ,0.0 ,O O ,0 ,O ,1 ,2 ,0 ,1 ,O ,O ,O 
Ranquil ,6261 ,10 ,159.7 ,0 ,0.0 ,O ,0.0 ,O O ,O ,1 ,3 ,6 ,O ,O ,O ,O ,O 
San Carlos ,56252 ,36 ,64.0 ,3 ,5.3 ,3 ,5.3 ,0 O ,2 ,6 ,10 ,9 ,2 ,3 ,3 ,1 ,0 
San Fabian ,4654 ,8 ,171.9 ,0 ,0.0 ,0 ,0.0 ,0 O ,0 ,3 ,3 ,1 ,O ,1 ,0 ,O ,0 
San Ignacio ,16624 ,10 ,60.2 ,4 ,24.1 ,3 ,18.0 ,0 0 ,0 ,2 ,2 ,1 ,0 ,1 ,3 ,1 ,0 
San Nicolas ,12172 ,14 ,115.0 ,O ,0.0 ,0 ,0.0 ,O O ,1 ,1 ,5 ,3 ,4 ,O ,O ,O ,0 
Treguaco ,5696 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O ,O ,O ,0 ,0 ,O ,O ,O ,0 ,0 
Yungay ,18596 ,55 ,295.8 ,8 ,43.0 ,8 ,43.0 ,O O ,0 ,5 ,14 ,21 ,3 ,4 ,6 ,2 ,O 
Total ,511551 ,785 ,153.5 ,59 ,11.5 ,57 ,11.1 ,0 1 ,37 ,165 ,219 ,161 ,73 ,59 ,49 ,21 ,0 
