,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE 15 16 ,SE SE SE SE SE 17 18 19 20 21 
Antartica ,137 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 O O ,O O ,O O ,0 O O 0 0 
Cabo de Hornos ,1983 ,20 ,1008.6 ,1 ,50.4 ,1 ,50.4 ,O 0 2 7 ,7 1 ,2 0 ,0 O 1 0 O 
Laguna Blanca ,264 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O O ,O O ,O O ,O O O O O 
Natales& ,23782 ,11 ,46.3 ,1 ,4.2 ,1 ,4.2 ,0 0 1 3 ,2 O ,2 O ,O 2 O 1 O 
Porvenir ,7323 ,9 ,122.9 ,1 ,13.7 ,1 ,13.7 ,0 O O O ,3 1 ,2 2 ,O O 1 0 O 
Primavera ,694 ,1 ,144.1 ,O ,0.0 ,O ,0.0 ,0 0 O O ,O O ,1 O ,0 O O 0 O 
Punta Arenas& ,141984 ,925 ,651.5 ,98 ,69.0 ,96 ,67.6 ,2 1 6 62 ,121 148 ,154 132 ,84 106 78 31 O 
Rio Verde ,211 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O O O ,0 O ,O O ,O 0 0 O O 
San Gregorio ,681 ,2 ,293.7 ,1 ,146.8 ,1 ,146.8 ,0 0 O O ,O O ,O O ,O O 2 0 0 
Timaukel ,282 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O O ,O O ,O 0 ,0 0 0 0 0 
Torres del Paine ,1021 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 O ,O O ,O 0 ,O 0 0 0 0 
Total ,178362 ,968 ,542.7 ,102 ,57.2 ,100 ,56.1 ,2 1 9 72 ,133 150 ,161 134 ,84 108 82 32 0 
