,,,,,,,NumerodeCasos,segunFecha,deIniciode,Sintomas,
Comuna ,Poblacion ,Numero de Casos ,Tasa incidencia ,Numero de Casos ,Tasa de Incidencia ,Numero de Casos ,Tasa de Incidencia ,SE SE SE ,SE SE SE ,SE SE SE SE SE SE SE ,SE SE 
,,Confirmados ,acumulada ,Actuales ,Actual ,Activos ,Activos ,9 10 11 ,12 13 14 ,15 16 17 18 19 20 21 ,22 23 
Angol ,56058 ,172 ,306.8 ,29 ,51.7 ,29 ,51.7 ,O 1 1 ,3 10 11 ,15 35 27 11 10 7 22 ,14 5 
Carahue ,25486 ,63 ,247.2 ,14 ,54.9 ,14 ,54.9 ,O 0 0 ,0 3 10 ,9 8 5 1 0 2 14 ,8 3 
Cholchol ,12341 ,16 ,129.6 ,10 ,81.0 ,10 ,81.0 ,O O O ,1 2 O ,O 1 O O 1 O 1 ,9 1 
Collipulli ,26148 ,30 ,114.7 ,7 ,26.8 ,7 ,26.8 ,O O O ,O O 1 ,1 1 3 O 2 9 8 ,5 O 
Cunco ,18055 ,31 ,171.7 ,4 ,22.2 ,4 ,22.2 ,O O O ,0 3 2 ,O 1 O O 1 5 18 ,0 1 
Curacautin ,18178 ,8 ,44.0 ,1 ,5.5 ,1 ,5.5 ,O 0 0 ,2 0 2 ,O 0 2 O 1 0 0 ,1 0 
Curarrehue ,7802 ,4 ,51.3 ,O ,0.0 ,O ,0.0 ,O O 1 ,1 2 0 ,O O O O O O O ,O O 
Ercilla ,8458 ,16 ,189.2 ,4 ,47.3 ,4 ,47.3 ,0 O O ,0 O 4 ,1 4 1 1 O O 4 ,1 O 
Freire ,25446 ,73 ,286.9 ,25 ,98.2 ,25 ,98.2 ,0 0 O ,2 4 0 ,O 2 0 0 11 11 28 ,14 1 
Galvarino ,12633 ,47 ,372.0 ,40 ,316.6 ,40 ,316.6 ,0 0 0 ,0 1 1 ,O 0 O 1 O 0 6 ,33 5 
Gorbea ,15148 ,20 ,132.0 ,1 ,6.6 ,1 ,6.6 ,0 0 1 ,4 4 1 ,O 1 O 1 3 O 4 ,1 O 
Lautaro ,40746 ,89 ,218.4 ,22 ,54.0 ,22 ,54.0 ,1 0 O ,6 3 15 ,5 6 2 8 9 3 13 ,17 1 
Loncoche ,24739 ,46 ,185.9 ,20 ,80.8 ,20 ,80.8 ,0 O O ,2 3 2 ,4 3 3 1 2 2 6 ,17 1 
Lonquimay ,11049 ,62 ,561.1 ,2 ,18.1 ,2 ,18.1 ,O 0 0 ,0 0 0 ,O O 2 13 12 25 9 ,1 O 
Los Sauces ,7517 ,4 ,53.2 ,3 ,39.9 ,3 ,39.9 ,0 0 O ,0 O 0 ,O 1 O O O O 0 ,3 O 
Lumaco ,10050 ,14 ,139.3 ,5 ,49.8 ,5 ,49.8 ,0 O O ,0 O 0 ,0 4 2 1 O 1 3 ,2 1 
Melipeuco ,6265 ,8 ,127.7 ,4 ,63.8 ,4 ,63.8 ,0 0 O ,0 0 0 ,O O O O O O 5 ,2 1 
Nueva Imperia ,33777 ,56 ,165.8 ,2 ,5.9 ,2 ,5.9 ,O 0 O ,4 10 4 ,12 7 3 2 6 5 2 ,0 1 
